,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2018,regulation of chemokine-mediated signaling pathway (GO:0070099),1/6,0.0041931197986946,0.0263909698839911,0,0,307.4,1682.8029678019434,SLIT3
1,GO_Biological_Process_2018,neuron projection extension involved in neuron projection guidance (GO:1902284),1/8,0.0055872022837974,0.0263909698839911,0,0,219.5494505494505,1138.8637280375192,SLIT3
2,GO_Biological_Process_2018,axon extension involved in axon guidance (GO:0048846),1/8,0.0055872022837974,0.0263909698839911,0,0,219.5494505494505,1138.8637280375192,SLIT3
3,GO_Biological_Process_2018,regulation of amyloid precursor protein biosynthetic process (GO:0042984),1/9,0.0062835642580931,0.0263909698839911,0,0,192.09615384615384,973.8925197668603,NECAB1
4,GO_Biological_Process_2018,regulation of glycoprotein biosynthetic process (GO:0010559),1/9,0.0062835642580931,0.0263909698839911,0,0,192.09615384615384,973.8925197668603,NECAB1
5,GO_Biological_Process_2018,axon extension (GO:0048675),1/20,0.01391373176082,0.0421229237743689,0,0,80.83805668016194,345.57291333057793,SLIT3
6,GO_Biological_Process_2018,response to glucocorticoid (GO:0051384),1/24,0.0166748271779813,0.0421229237743689,0,0,66.76588628762542,273.3298608380045,SLIT3
7,GO_Biological_Process_2018,negative chemotaxis (GO:0050919),1/26,0.0180526816175866,0.0421229237743689,0,0,61.418461538461536,246.562020931719,SLIT3
8,GO_Biological_Process_2018,response to ketone (GO:1901654),1/26,0.0180526816175866,0.0421229237743689,0,0,61.418461538461536,246.562020931719,SLIT3
33,GO_Biological_Process_2017b,response to cortisol (GO:0051414),1/11,0.0076749307875411,0.0460495847252468,0,0,153.66153846153847,748.3003458854362,SLIT3
25,GO_Biological_Process_2017b,chemorepulsion involved in precerebellar neuron migration (GO:0021950),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
26,GO_Biological_Process_2017b,negative chemotaxis (GO:0050919),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
27,GO_Biological_Process_2017b,negative regulation of chemokine-mediated signaling pathway (GO:0070100),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
32,GO_Biological_Process_2017b,chemorepulsion involved in postnatal olfactory bulb interneuron migration (GO:0021836),1/10,0.0069794736802133,0.0460495847252468,0,0,170.74358974358975,847.7046615380154,SLIT3
29,GO_Biological_Process_2017b,chemorepulsion involved in embryonic olfactory bulb interneuron precursor migration (GO:0021834),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
30,GO_Biological_Process_2017b,synaptic target inhibition (GO:0016201),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
31,GO_Biological_Process_2017b,negative aerotaxis (GO:0052130),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
24,GO_Biological_Process_2017b,negative chemotaxis in environment of other organism involved in symbiotic interaction (GO:0052223),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
28,GO_Biological_Process_2017b,chemorepulsion involved in interneuron migration from the subpallium to the cortex (GO:0021842),1/9,0.0062835642580931,0.0460495847252468,0,0,192.09615384615384,973.8925197668603,SLIT3
23,GO_Biological_Process_2017b,termination of Roundabout signal transduction (GO:0035554),1/8,0.0055872022837974,0.0460495847252468,0,0,219.5494505494505,1138.8637280375192,SLIT3
34,GO_Biological_Process_2017b,cellular response to cortisol stimulus (GO:0071387),1/13,0.0090644890278939,0.0498546896534165,0,0,128.03846153846155,602.2149225510485,SLIT3
9,GO_Biological_Process_2018,negative regulation of cytokine-mediated signaling pathway (GO:0001960),1/40,0.0276475867285054,0.0580599321298614,0,0,39.34319526627219,141.17191556098328,SLIT3
22,WikiPathways_2019_Human,Spinal Cord Injury WP2431,1/118,0.0795304257434089,0.0795304257434089,0,0,13.06311637080868,33.07078940821261,SLIT3
35,GO_Biological_Process_2017b,cellular response to cytokinin stimulus (GO:0071368),1/33,0.022861068741375,0.0819804200801653,0,0,47.96634615384615,181.23219876999116,SLIT3
37,GO_Biological_Process_2017b,cellular response to abscisic acid stimulus (GO:0071215),1/33,0.022861068741375,0.0819804200801653,0,0,47.96634615384615,181.23219876999116,SLIT3
38,GO_Biological_Process_2017b,cellular response to ethylene stimulus (GO:0071369),1/33,0.022861068741375,0.0819804200801653,0,0,47.96634615384615,181.23219876999116,SLIT3
40,GO_Biological_Process_2017b,cellular response to parathyroid hormone stimulus (GO:0071374),1/36,0.0249151061269709,0.0819804200801653,0,0,43.848351648351645,161.9004351330391,SLIT3
41,GO_Biological_Process_2017b,cellular response to jasmonic acid stimulus (GO:0071395),1/37,0.025598893875467,0.0819804200801653,0,0,42.62820512820513,156.2411590204543,SLIT3
42,GO_Biological_Process_2017b,cellular response to gonadotropin stimulus (GO:0071371),1/38,0.0262822363843274,0.0819804200801653,0,0,41.47401247401248,150.91820759135345,SLIT3
43,GO_Biological_Process_2017b,cellular response to leptin stimulus (GO:0044320),1/40,0.0276475867285054,0.0819804200801653,0,0,39.34319526627219,141.17191556098328,SLIT3
45,GO_Biological_Process_2017b,cellular response to prostaglandin stimulus (GO:0071379),1/42,0.0290111592858413,0.0819804200801653,0,0,37.4202626641651,132.4705258751648,SLIT3
46,GO_Biological_Process_2017b,cellular response to thyroid hormone stimulus (GO:0097067),1/44,0.0303729561855169,0.0819804200801653,0,0,35.67620751341681,124.65989939397582,SLIT3
47,GO_Biological_Process_2017b,cellular response to brassinosteroid stimulus (GO:0071367),1/45,0.031053189424305,0.0819804200801653,0,0,34.86363636363637,121.04841961551216,SLIT3
36,GO_Biological_Process_2017b,cellular response to gibberellin stimulus (GO:0071370),1/33,0.022861068741375,0.0819804200801653,0,0,47.96634615384615,181.23219876999116,SLIT3
39,GO_Biological_Process_2017b,cellular response to auxin stimulus (GO:0071365),1/33,0.022861068741375,0.0819804200801653,0,0,47.96634615384615,181.23219876999116,SLIT3
44,GO_Biological_Process_2017b,cellular response to hormone stimulus (GO:0032870),1/40,0.0276475867285054,0.0819804200801653,0,0,39.34319526627219,141.17191556098328,SLIT3
48,GO_Biological_Process_2017b,cellular response to peptide hormone stimulus (GO:0071375),1/48,0.0330912315021826,0.0840008184286175,0,0,32.633387888707034,111.23047645903024,SLIT3
62,GO_Biological_Process_2017b,semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287),1/128,0.0859929008416181,0.0988351503679446,0,0,12.028467595396728,29.51173138971605,SLIT3
64,GO_Biological_Process_2017b,corticospinal neuron axon guidance through the internal capsule (GO:0021968),1/128,0.0859929008416181,0.0988351503679446,0,0,12.028467595396728,29.51173138971605,SLIT3
65,GO_Biological_Process_2017b,corticospinal neuron axon guidance through the basilar pons (GO:0021970),1/128,0.0859929008416181,0.0988351503679446,0,0,12.028467595396728,29.51173138971605,SLIT3
66,GO_Biological_Process_2017b,corticospinal neuron axon guidance through the cerebral peduncle (GO:0021969),1/128,0.0859929008416181,0.0988351503679446,0,0,12.028467595396728,29.51173138971605,SLIT3
67,GO_Biological_Process_2017b,dorsal/ventral axon guidance (GO:0033563),1/128,0.0859929008416181,0.0988351503679446,0,0,12.028467595396728,29.51173138971605,SLIT3
68,GO_Biological_Process_2017b,sensory neuron axon guidance (GO:0097374),1/128,0.0859929008416181,0.0988351503679446,0,0,12.028467595396728,29.51173138971605,SLIT3
69,GO_Biological_Process_2017b,interneuron axon guidance (GO:0097376),1/128,0.0859929008416181,0.0988351503679446,0,0,12.028467595396728,29.51173138971605,SLIT3
