,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2018,metal ion homeostasis (GO:0055065),2/45,0.000740201623342803,0.0738314003456261,0,0,57.96220930232558,417.82568323656506,LETMD1;SLC12A9
24,GO_Biological_Process_2018,myoblast differentiation (GO:0045445),1/16,0.0143084109196949,0.0738314003456261,0,0,78.30196078431372,332.5412031884909,NRG1
23,GO_Biological_Process_2018,mRNA transcription from RNA polymerase II promoter (GO:0042789),1/16,0.0143084109196949,0.0738314003456261,0,0,78.30196078431372,332.5412031884909,TFCP2
22,GO_Biological_Process_2018,regulation of protein homodimerization activity (GO:0043496),1/16,0.0143084109196949,0.0738314003456261,0,0,78.30196078431372,332.5412031884909,NRG1
20,GO_Biological_Process_2018,mesenchymal cell development (GO:0014031),1/15,0.01341982690512,0.0738314003456261,0,0,83.89915966386555,361.6911269349327,NRG1
19,GO_Biological_Process_2018,membrane repolarization during cardiac muscle cell action potential (GO:0086013),1/15,0.01341982690512,0.0738314003456261,0,0,83.89915966386555,361.6911269349327,KCND3
18,GO_Biological_Process_2018,cardiac muscle cell differentiation (GO:0055007),1/15,0.01341982690512,0.0738314003456261,0,0,83.89915966386555,361.6911269349327,NRG1
17,GO_Biological_Process_2018,neural crest cell differentiation (GO:0014033),1/15,0.01341982690512,0.0738314003456261,0,0,83.89915966386555,361.6911269349327,NRG1
16,GO_Biological_Process_2018,negative regulation of secretion (GO:0051048),1/14,0.0125304865571366,0.0738314003456261,0,0,90.3574660633484,395.7287161899813,NRG1
15,GO_Biological_Process_2018,stem cell development (GO:0048864),1/14,0.0125304865571366,0.0738314003456261,0,0,90.3574660633484,395.7287161899813,NRG1
14,GO_Biological_Process_2018,regulation of secretion (GO:0051046),1/14,0.0125304865571366,0.0738314003456261,0,0,90.3574660633484,395.7287161899813,NRG1
13,GO_Biological_Process_2018,cardiocyte differentiation (GO:0035051),1/13,0.011640389286531,0.0738314003456261,0,0,97.8921568627451,435.94063546940737,NRG1
21,GO_Biological_Process_2018,monovalent inorganic anion homeostasis (GO:0055083),1/15,0.01341982690512,0.0738314003456261,0,0,83.89915966386555,361.6911269349327,SLC12A9
11,GO_Biological_Process_2018,viral RNA genome replication (GO:0039694),1/12,0.0107495345067081,0.0738314003456261,0,0,106.79679144385028,484.0984098875249,ATG16L1
10,GO_Biological_Process_2018,membrane repolarization during action potential (GO:0086011),1/11,0.0098579216348164,0.0738314003456261,0,0,117.48235294117649,542.7073703814344,KCND3
9,GO_Biological_Process_2018,cardiac muscle cell membrane repolarization (GO:0099622),1/11,0.0098579216348164,0.0738314003456261,0,0,117.48235294117649,542.7073703814344,KCND3
8,GO_Biological_Process_2018,chloride ion homeostasis (GO:0055064),1/10,0.0089655500933473,0.0738314003456261,0,0,130.54248366013073,615.425022203049,SLC12A9
7,GO_Biological_Process_2018,potassium ion export (GO:0071435),1/9,0.0080724193100501,0.0738314003456261,0,0,146.86764705882354,707.7995527019895,KCND3
6,GO_Biological_Process_2018,regulation of striated muscle cell differentiation (GO:0051153),1/8,0.0071785287204102,0.0738314003456261,0,0,167.85714285714286,828.6537822644398,NRG1
