,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GWAS_Catalog_2019,Acute lymphoblastic leukemia (B-cell precursor),1/7,0.0045417536091676,0.0449894866751806,0,0,277.5138888888889,1497.032601111507,ARID5B
18,GWAS_Catalog_2019,Response to serotonin reuptake inhibitors in major depressive disorder,1/21,0.0135682578861655,0.0449894866751806,0,0,83.19583333333334,357.74392971285124,NRG1
17,GWAS_Catalog_2019,Cleft lip with or without cleft palate,1/20,0.0129260209528938,0.0449894866751806,0,0,87.57894736842105,380.8381798737429,NRG1
15,GWAS_Catalog_2019,Logical memory (delayed recall) in mild cognitive impairment,1/19,0.0122833981550328,0.0449894866751806,0,0,92.44907407407408,406.7303181925871,NRG1
14,GWAS_Catalog_2019,Diastolic blood pressure x smoking status (current vs non-current) interaction (1df test),1/18,0.011640389286531,0.0449894866751806,0,0,97.8921568627451,435.94063546940737,ASB3
13,GWAS_Catalog_2019,Logical memory (immediate recall) in mild cognitive impairment,1/18,0.011640389286531,0.0449894866751806,0,0,97.8921568627451,435.94063546940737,NRG1
12,GWAS_Catalog_2019,Cholangiocarcinoma in primary sclerosing cholangitis (time to event),1/16,0.0103532125188836,0.0449894866751806,0,0,110.95555555555556,507.11775303850175,ARID5B
11,GWAS_Catalog_2019,Hirschsprung disease,1/15,0.0097090442156726,0.0449894866751806,0,0,118.88690476190476,551.0048324972125,NRG1
10,GWAS_Catalog_2019,Excessive daytime sleepiness,1/14,0.0090644890278939,0.0449894866751806,0,0,128.03846153846155,602.2149225510485,ASB3
16,GWAS_Catalog_2019,Cardiac Troponin-T levels,1/19,0.0122833981550328,0.0449894866751806,0,0,92.44907407407408,406.7303181925871,NRG1
8,GWAS_Catalog_2019,Lung cancer,2/225,0.009057251856518,0.0449894866751806,0,0,16.114145943742358,75.80399666624278,NRG1;COL6A5
7,GWAS_Catalog_2019,Interleukin-1-receptor antagonist levels,1/12,0.0077742172076079,0.0449894866751806,0,0,151.33333333333334,735.0172993440868,ASB3
6,GWAS_Catalog_2019,Age-related macular degeneration (extreme sampling),1/11,0.00712850018242,0.0449894866751806,0,0,166.475,822.994869532877,BTBD16
5,GWAS_Catalog_2019,Differentiated thyroid cancer,1/10,0.006482395492037,0.0449894866751806,0,0,184.9814814814815,932.059746399125,NRG1
4,GWAS_Catalog_2019,Acute graft versus host disease in bone marrow transplantation (recipient effect),1/10,0.006482395492037,0.0449894866751806,0,0,184.9814814814815,932.059746399125,PTK2
3,GWAS_Catalog_2019,Acute lymphoblastic leukemia in childhood (B cell precursor),1/9,0.005835902950749,0.0449894866751806,0,0,208.11458333333331,1070.4844511001115,ARID5B
9,GWAS_Catalog_2019,Thyroid cancer,1/14,0.0090644890278939,0.0449894866751806,0,0,128.03846153846155,602.2149225510485,NRG1
2,GWAS_Catalog_2019,Papillary thyroid cancer,1/9,0.005835902950749,0.0449894866751806,0,0,208.11458333333331,1070.4844511001115,NRG1
1,GWAS_Catalog_2019,Hip geometry,1/7,0.0045417536091676,0.0449894866751806,0,0,277.5138888888889,1497.032601111507,NRG1
19,GWAS_Catalog_2019,Serum thyroid-stimulating hormone levels,1/26,0.0167736618234459,0.0528370347438546,0,0,66.54,272.01188501169923,NRG1
21,GWAS_Catalog_2019,Metabolite levels  (X-11787),1/29,0.0186922870807393,0.0535279130039353,0,0,59.40178571428572,236.3979776770167,NRG1
20,GWAS_Catalog_2019,Thyroid hormone levels,1/28,0.0180531296002428,0.0535279130039353,0,0,61.60493827160494,247.30909578576168,NRG1
22,GWAS_Catalog_2019,Dialysis-related mortality,1/32,0.0206074563833083,0.0540945730061843,0,0,53.64516129032258,208.25600447555712,NRG1
23,GWAS_Catalog_2019,Orofacial clefts,1/32,0.0206074563833083,0.0540945730061843,0,0,53.64516129032258,208.25600447555712,NRG1
24,GWAS_Catalog_2019,Emphysema imaging phenotypes,1/36,0.0231556492787795,0.0569973826321822,0,0,47.50476190476191,178.87996472866277,NRG1
25,GWAS_Catalog_2019,Acute lymphoblastic leukemia (childhood),1/38,0.0244274496995066,0.0569973826321822,0,0,44.93243243243244,166.7913365695687,ARID5B
26,GWAS_Catalog_2019,Corneal structure,1/38,0.0244274496995066,0.0569973826321822,0,0,44.93243243243244,166.7913365695687,ARID5B
27,GWAS_Catalog_2019,Nickel levels,1/40,0.0256977216686787,0.0578198737545271,0,0,42.623931623931625,156.0612574523752,PTK2
28,GWAS_Catalog_2019,Familial squamous cell lung carcinoma,1/43,0.027600267431624,0.0592907425736659,0,0,39.573412698412696,142.06577419675818,GALNTL6
29,GWAS_Catalog_2019,Cerebrospinal T-tau levels,1/44,0.0282336869398409,0.0592907425736659,0,0,38.65116279069768,137.87795237211324,NRG1
