,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
72,KEGG_2019_Human,Protein digestion and absorption,3/90,8.104295474585264e-05,0.0011346013664419,0,0,42.875,403.90527684424575,COL24A1;COL4A2;COL4A4
74,KEGG_2019_Human,Small cell lung cancer,2/93,0.0034741782898995,0.0112113277886493,0,0,25.714285714285715,145.60450177539863,COL4A2;COL4A4
75,KEGG_2019_Human,Amoebiasis,2/96,0.0036969199300382,0.0112113277886493,0,0,24.88986232790989,139.38958235666968,COL4A2;COL4A4
76,KEGG_2019_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0040040456388033,0.0112113277886493,0,0,23.869147659063625,131.7684366549516,COL4A2;COL4A4
73,KEGG_2019_Human,ECM-receptor interaction,2/82,0.0027138129322115,0.0112113277886493,0,0,29.266176470588235,172.9455621679364,COL4A2;COL4A4
77,KEGG_2019_Human,Relaxin signaling pathway,2/130,0.0066686925530493,0.0155602826237817,0,0,18.247242647058822,91.42473384358024,COL4A2;COL4A4
78,KEGG_2019_Human,Focal adhesion,2/199,0.0150707852124375,0.0301415704248751,0,0,11.81487011048074,49.56334659892028,COL4A2;COL4A4
95,GO_Biological_Process_2017b,negative regulation of vessel branching (GO:1905554),2/47,0.000901016066486868,0.0399085975500366,0,0,52.120261437908496,365.46662006673137,COL4A2;SEMA3E
96,GO_Biological_Process_2017b,negative regulation of sprouting angiogenesis (GO:1903671),2/49,0.0009790903375910178,0.0399085975500366,0,0,49.897371714643306,345.7332324601132,COL4A2;SEMA3E
97,GO_Biological_Process_2017b,negative regulation of vascular wound healing (GO:0061044),2/55,0.0012321620650803,0.0399085975500366,0,0,44.23529411764706,296.3315662879716,COL4A2;SEMA3E
98,GO_Biological_Process_2017b,positive regulation of neuron differentiation (GO:0045666),2/56,0.0012770751216011,0.0399085975500366,0,0,43.41394335511983,289.275043988451,NUMB;NRCAM
0,GO_Biological_Process_2018,negative regulation of blood vessel morphogenesis (GO:2000181),2/65,0.0017161231052228,0.0463491773918149,0,0,37.19514472455649,236.8470596426402,COL4A2;SEMA3E
1,GO_Biological_Process_2018,negative regulation of angiogenesis (GO:0016525),2/69,0.0019312157246589,0.0463491773918149,0,0,34.967515364354696,218.53317862316595,COL4A2;SEMA3E
2,GO_Biological_Process_2018,positive regulation of neurogenesis (GO:0050769),2/69,0.0019312157246589,0.0463491773918149,0,0,34.967515364354696,218.53317862316595,NUMB;NRCAM
99,GO_Biological_Process_2017b,negative regulation of angiogenesis (GO:0016525),2/70,0.0019868924216423,0.0496723105410584,0,0,34.451557093425606,214.32945709106943,COL4A2;SEMA3E
79,KEGG_2019_Human,Mucin type O-glycan biosynthesis,1/31,0.0290554700086194,0.0508470725150839,0,0,36.946296296296296,130.736261970552,GALNT17
81,KEGG_2019_Human,PI3K-Akt signaling pathway,2/354,0.0438139582164133,0.0568244021866146,0,0,6.560494652406417,20.519933750674703,COL4A2;COL4A4
80,KEGG_2019_Human,Human papillomavirus infection,2/330,0.0385815577507013,0.0568244021866146,0,0,7.049139167862267,22.944813318737577,COL4A2;COL4A4
82,KEGG_2019_Human,Notch signaling pathway,1/48,0.0446477445751972,0.0568244021866146,0,0,23.56264775413712,73.25512875801161,NUMB
90,WikiPathways_2019_Human,PI3K-Akt Signaling Pathway WP4172,2/340,0.0407301904679762,0.0585739418423423,0,0,6.83710407239819,21.88410481428056,COL4A2;COL4A4
89,WikiPathways_2019_Human,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932,2/303,0.03301345313189,0.0585739418423423,0,0,7.692007035372288,26.236206275931917,COL4A2;COL4A4
88,WikiPathways_2019_Human,miRNA targets in ECM and membrane receptors WP2911,1/22,0.020703445636816,0.0585739418423423,0,0,52.8042328042328,204.7460437251252,COL4A2
87,WikiPathways_2019_Human,Focal Adhesion WP306,2/198,0.0149277211271244,0.0585739418423423,0,0,11.875750300120048,49.9320115437787,COL4A2;COL4A4
92,WikiPathways_2019_Human,Hepatitis C and Hepatocellular Carcinoma WP3646,1/49,0.0455575103218218,0.0585739418423423,0,0,23.07060185185185,71.26000869785321,COL4A2
91,WikiPathways_2019_Human,Notch Signaling WP268,1/45,0.0419135157339488,0.0585739418423423,0,0,25.1729797979798,79.85239065693193,NUMB
86,WikiPathways_2019_Human,Epithelial to mesenchymal transition in colorectal cancer WP4239,2/159,0.0098278400220708,0.0585739418423423,0,0,14.85500187336081,68.66778245824908,COL4A2;COL4A4
120,GO_Biological_Process_2017b,axonal fasciculation (GO:0007413),1/13,0.0122833981550328,0.0590282775501431,0,0,92.44907407407408,406.7303181925871,NRCAM
121,GO_Biological_Process_2017b,negative regulation of smooth muscle cell-matrix adhesion (GO:2000098),1/14,0.013222334171232,0.0590282775501431,0,0,85.33333333333333,369.13902050225767,SEMA3E
122,GO_Biological_Process_2017b,positive regulation of gliogenesis (GO:0014015),1/14,0.013222334171232,0.0590282775501431,0,0,85.33333333333333,369.13902050225767,NUMB
113,GO_Biological_Process_2017b,negative regulation of endothelial cell-matrix adhesion via fibronectin (GO:1904905),1/11,0.0104029870187894,0.0590282775501431,0,0,110.95,506.5602322657193,SEMA3E
119,GO_Biological_Process_2017b,negative regulation of Golgi to plasma membrane protein transport (GO:0042997),1/13,0.0122833981550328,0.0590282775501431,0,0,92.44907407407408,406.7303181925871,NUMB
118,GO_Biological_Process_2017b,negative regulation of actin cytoskeleton reorganization (GO:2000250),1/13,0.0122833981550328,0.0590282775501431,0,0,92.44907407407408,406.7303181925871,SEMA3E
112,GO_Biological_Process_2017b,collagen fibril organization (GO:0030199),2/154,0.0092435818052652,0.0590282775501431,0,0,15.347523219814242,71.88512564020364,COL4A2;COL4A4
111,GO_Biological_Process_2017b,extracellular matrix assembly (GO:0085029),2/149,0.0086756217377839,0.0590282775501431,0,0,15.873549419767906,75.35552153477218,COL4A2;COL4A4
110,GO_Biological_Process_2017b,gene expression involved in extracellular matrix organization (GO:1901148),2/146,0.0083427317240423,0.0590282775501431,0,0,16.20669934640523,77.57117157085833,COL4A2;COL4A4
108,GO_Biological_Process_2017b,basement membrane organization (GO:0071711),2/144,0.0081241111524019,0.0590282775501431,0,0,16.43661971830986,79.10811857172071,COL4A2;COL4A4
107,GO_Biological_Process_2017b,cellulose microfibril organization (GO:0010215),2/143,0.0080157963567418,0.0590282775501431,0,0,16.554025865665416,79.89537606080792,COL4A2;COL4A4
106,GO_Biological_Process_2017b,extracellular matrix organization (GO:0030198),2/143,0.0080157963567418,0.0590282775501431,0,0,16.554025865665416,79.89537606080792,COL4A2;COL4A4
114,GO_Biological_Process_2017b,regulation of axon extension involved in axon guidance (GO:0048841),1/11,0.0104029870187894,0.0590282775501431,0,0,110.95,506.5602322657193,NRCAM
105,GO_Biological_Process_2017b,extracellular matrix organization in marginal zone involved in cerebral cortex radial glia guided migration (GO:0021820),2/143,0.0080157963567418,0.0590282775501431,0,0,16.554025865665416,79.89537606080792,COL4A2;COL4A4
103,GO_Biological_Process_2017b,extracellular matrix organization involved in endocardium development (GO:0061148),2/143,0.0080157963567418,0.0590282775501431,0,0,16.554025865665416,79.89537606080792,COL4A2;COL4A4
102,GO_Biological_Process_2017b,negative regulation of endosome to plasma membrane protein transport (GO:1905750),1/7,0.006631989066781,0.0590282775501431,0,0,184.9537037037037,927.7001289942034,NUMB
115,GO_Biological_Process_2017b,fasciculation of motor neuron axon (GO:0097156),1/11,0.0104029870187894,0.0590282775501431,0,0,110.95,506.5602322657193,NRCAM
100,GO_Biological_Process_2017b,clustering of voltage-gated sodium channels (GO:0045162),1/6,0.0056871157389833,0.0590282775501431,0,0,221.95555555555555,1147.4107993095174,NRCAM
116,GO_Biological_Process_2017b,fasciculation of sensory neuron axon (GO:0097155),1/12,0.0113436160025479,0.0590282775501431,0,0,100.85858585858584,451.7557080600296,NRCAM
