,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2018,regulation of synapse assembly (GO:0051963),2/35,0.0005541829397838258,0.0399011716644354,0,0,67.16161616161617,503.57885305588366,ROBO2;PTPRD
83,GO_Biological_Process_2017b,medial motor column neuron differentiation (GO:0021526),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
82,GO_Biological_Process_2017b,retinal bipolar neuron differentiation (GO:0060040),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
81,GO_Biological_Process_2017b,photoreceptor cell differentiation (GO:0046530),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
80,GO_Biological_Process_2017b,mechanoreceptor differentiation (GO:0042490),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
79,GO_Biological_Process_2017b,central nervous system neuron differentiation (GO:0021953),3/159,0.0005088865864018103,0.0477340577756805,0,0,22.42533936651584,170.057748221093,ROBO2;PTPRD;MYT1L
86,GO_Biological_Process_2017b,neuron differentiation involved in salivary gland development (GO:0060705),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
87,GO_Biological_Process_2017b,Rohon-Beard neuron differentiation (GO:1905275),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
88,GO_Biological_Process_2017b,GABAergic neuron differentiation (GO:0097154),2/64,0.0018453715711163,0.0477340577756805,0,0,35.69534050179212,224.7048323380627,PTPRD;MYT1L
89,GO_Biological_Process_2017b,cardiac neuron differentiation (GO:0060945),2/66,0.001961104016553,0.0477340577756805,0,0,34.576388888888886,215.55777257871145,PTPRD;MYT1L
90,GO_Biological_Process_2017b,noradrenergic neuron differentiation (GO:0003357),2/67,0.0020202359976765,0.0477340577756805,0,0,34.042735042735046,211.21954341363585,PTPRD;MYT1L
91,GO_Biological_Process_2017b,neuron fate commitment (GO:0048663),2/68,0.0020802097196089,0.0477340577756805,0,0,33.525252525252526,207.02804146104276,PTPRD;MYT1L
92,GO_Biological_Process_2017b,amacrine cell differentiation (GO:0035881),2/68,0.0020802097196089,0.0477340577756805,0,0,33.525252525252526,207.02804146104276,PTPRD;MYT1L
93,GO_Biological_Process_2017b,neuron differentiation (GO:0030182),2/70,0.0022026761035863,0.0477340577756805,0,0,32.5359477124183,199.05760409273051,PTPRD;MYT1L
94,GO_Biological_Process_2017b,hair cell differentiation (GO:0035315),2/72,0.0023284906232039,0.0477340577756805,0,0,31.603174603174605,191.59535285451057,PTPRD;MYT1L
84,GO_Biological_Process_2017b,glutamatergic neuron differentiation (GO:1905962),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
85,GO_Biological_Process_2017b,neuron differentiation involved in amphid sensory organ development (GO:0003387),2/63,0.001788774259171,0.0477340577756805,0,0,36.28233151183971,229.5301805177287,PTPRD;MYT1L
96,GO_Biological_Process_2017b,dopaminergic neuron differentiation (GO:0071542),2/78,0.0027258980360561,0.0496719197681348,0,0,29.09941520467836,171.83080571225088,PTPRD;MYT1L
95,GO_Biological_Process_2017b,peripheral nervous system neuron differentiation (GO:0048934),2/77,0.0026575929845639,0.0496719197681348,0,0,29.488888888888887,174.87897393163863,PTPRD;MYT1L
1,GO_Biological_Process_2018,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),2/58,0.0015185400416673,0.0546674415000253,0,0,39.53174603174603,256.5612651652447,ROBO2;PTPRD
97,GO_Biological_Process_2017b,neuron development (GO:0048666),2/86,0.0033018930995042,0.0570011019282843,0,0,26.31746031746032,150.3584751342039,PTPRD;MYT1L
12,GO_Biological_Process_2018,negative regulation of chemotaxis (GO:0050922),1/11,0.0109477797028559,0.0606338568158177,0,0,105.10526315789474,474.5101770765117,ROBO2
10,GO_Biological_Process_2018,presynaptic membrane assembly (GO:0097105),1/10,0.0099572476243861,0.0606338568158177,0,0,116.78947368421052,538.3357753631753,PTPRD
9,GO_Biological_Process_2018,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),2/142,0.0087462104643365,0.0606338568158177,0,0,15.746031746031743,74.62256641453148,ROBO2;PTPRD
8,GO_Biological_Process_2018,neuron differentiation (GO:0030182),2/139,0.0083942929149811,0.0606338568158177,0,0,16.093268450932683,76.9290936521396,PTPRD;MYT1L
11,GO_Biological_Process_2018,presynaptic membrane organization (GO:0097090),1/11,0.0109477797028559,0.0606338568158177,0,0,105.10526315789474,474.5101770765117,PTPRD
6,GO_Biological_Process_2018,neuron fate specification (GO:0048665),1/7,0.0069799958941807,0.0606338568158177,0,0,175.21052631578948,869.8689177892479,MYT1L
5,GO_Biological_Process_2018,negative regulation of synapse organization (GO:1905809),1/7,0.0069799958941807,0.0606338568158177,0,0,175.21052631578948,869.8689177892479,ROBO2
