,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
56,KEGG_2019_Human,Riboflavin metabolism,1/8,0.0047907030934129,0.0470648338338614,0,0,259.4935064935065,1385.975083259077,ENPP3
60,KEGG_2019_Human,Starch and sucrose metabolism,1/36,0.0213931062881188,0.0470648338338614,0,0,51.82597402597403,199.25462501506232,ENPP3
59,KEGG_2019_Human,Mucin type O-glycan biosynthesis,1/31,0.0184471364708874,0.0470648338338614,0,0,60.47878787878788,241.4824938489569,GALNTL6
58,KEGG_2019_Human,Nicotinate and nicotinamide metabolism,1/30,0.0178569680089386,0.0470648338338614,0,0,62.56739811912226,251.8563944353508,ENPP3
57,KEGG_2019_Human,Pantothenate and CoA biosynthesis,1/19,0.0113436160025479,0.0470648338338614,0,0,100.85858585858584,451.7557080600296,ENPP3
61,KEGG_2019_Human,Pyrimidine metabolism,1/57,0.0336778952288052,0.0617428079194762,0,0,32.357142857142854,109.72027527854156,ENPP3
95,GO_Biological_Process_2017b,"cyclic 2,3-bisphospho-D-glycerate biosynthetic process (GO:1901369)",1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
96,GO_Biological_Process_2017b,phosphagen metabolic process (GO:0006599),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
97,GO_Biological_Process_2017b,glyceraldehyde-3-phosphate metabolic process (GO:0019682),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
98,GO_Biological_Process_2017b,glucose 1-phosphate metabolic process (GO:0019255),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
80,GO_Biological_Process_2017b,stress-activated MAPK cascade (GO:0051403),2/250,0.0094569276786718,0.066497059325281,0,0,15.919354838709678,74.20023577459912,MAP3K8;GFRA2
99,GO_Biological_Process_2017b,L-methionine biosynthetic process from O-phospho-L-homoserine and cystathionine (GO:0019283),1/17,0.0101551258956082,0.066497059325281,0,0,113.47727272727272,520.8353408254836,ENPP3
101,GO_Biological_Process_2017b,molybdopterin cofactor metabolic process (GO:0043545),1/17,0.0101551258956082,0.066497059325281,0,0,113.47727272727272,520.8353408254836,ENPP3
94,GO_Biological_Process_2017b,D-tagatose 6-phosphate metabolic process (GO:2001058),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
102,GO_Biological_Process_2017b,thiamine diphosphate metabolic process (GO:0042357),1/17,0.0101551258956082,0.066497059325281,0,0,113.47727272727272,520.8353408254836,ENPP3
103,GO_Biological_Process_2017b,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)",1/18,0.0107495345067081,0.066497059325281,0,0,106.79679144385028,484.0984098875249,ENPP3
104,GO_Biological_Process_2017b,"fructose 2,6-bisphosphate metabolic process (GO:0006003)",1/18,0.0107495345067081,0.066497059325281,0,0,106.79679144385028,484.0984098875249,ENPP3
100,GO_Biological_Process_2017b,lipid X metabolic process (GO:2001289),1/17,0.0101551258956082,0.066497059325281,0,0,113.47727272727272,520.8353408254836,ENPP3
93,GO_Biological_Process_2017b,D-glycero-D-manno-heptose 7-phosphate metabolic process (GO:2001060),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
90,GO_Biological_Process_2017b,alditol phosphate metabolic process (GO:0052646),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
91,GO_Biological_Process_2017b,nucleoside phosphate metabolic process (GO:0006753),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
105,GO_Biological_Process_2017b,pyridoxal phosphate metabolic process (GO:0042822),1/19,0.0113436160025479,0.066497059325281,0,0,100.85858585858584,451.7557080600296,ENPP3
89,GO_Biological_Process_2017b,deoxyribose phosphate metabolic process (GO:0019692),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
88,GO_Biological_Process_2017b,carbamoyl phosphate metabolic process (GO:0070408),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
87,GO_Biological_Process_2017b,methanopterin-containing compound metabolic process (GO:2001115),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
86,GO_Biological_Process_2017b,6-sulfoquinovose(1-) catabolic process to 3-sulfopropanediol(1-) (GO:0061721),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
85,GO_Biological_Process_2017b,6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde (GO:0061720),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
84,GO_Biological_Process_2017b,phosphate-containing compound metabolic process (GO:0006796),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
83,GO_Biological_Process_2017b,xylulose 5-phosphate metabolic process (GO:0051167),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
82,GO_Biological_Process_2017b,1-deoxy-D-xylulose 5-phosphate metabolic process (GO:0052863),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
79,GO_Biological_Process_2017b,nucleoside triphosphate catabolic process (GO:0009143),1/6,0.0035949984464796,0.066497059325281,0,0,363.3272727272727,2044.8828145385055,ENPP3
92,GO_Biological_Process_2017b,O3-(N-acetylglucosamine-1-phosphoryl)-L-serine biosynthetic process (GO:0018425),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
106,GO_Biological_Process_2017b,GDP-mannose biosynthetic process from fructose-6-phosphate (GO:0061729),1/19,0.0113436160025479,0.066497059325281,0,0,100.85858585858584,451.7557080600296,ENPP3
81,GO_Biological_Process_2017b,ribose phosphate metabolic process (GO:0019693),1/16,0.0095603900128118,0.066497059325281,0,0,121.04848484848485,562.8907982194623,ENPP3
107,GO_Biological_Process_2017b,positive regulation of G-protein coupled receptor internalization (GO:1904022),1/19,0.0113436160025479,0.066497059325281,0,0,100.85858585858584,451.7557080600296,TBC1D5
108,GO_Biological_Process_2017b,glucose 6-phosphate metabolic process (GO:0051156),1/20,0.0119373705403343,0.0676450997285612,0,0,95.54545454545456,423.0830518492731,ENPP3
109,GO_Biological_Process_2017b,tyrosine catabolic process to phosphoenolpyruvate (GO:0019446),1/21,0.0125307982775315,0.068583369882975,0,0,90.76363636363637,397.5053179562565,ENPP3
110,GO_Biological_Process_2017b,fructose 6-phosphate metabolic process (GO:0006002),1/22,0.0131238993688258,0.068583369882975,0,0,86.43722943722943,374.560203730456,ENPP3
111,GO_Biological_Process_2017b,"fructose 1,6-bisphosphate metabolic process (GO:0030388)",1/23,0.013716673976595,0.068583369882975,0,0,82.50413223140495,353.872030109198,ENPP3
112,GO_Biological_Process_2017b,glycerol to glycerone phosphate metabolic process (GO:0061610),1/23,0.013716673976595,0.068583369882975,0,0,82.50413223140495,353.872030109198,ENPP3
113,GO_Biological_Process_2017b,p38MAPK cascade (GO:0038066),1/26,0.0154930404733183,0.0752519108704034,0,0,72.59272727272727,302.5203442580517,MAP3K8
62,KEGG_2019_Human,T cell receptor signaling pathway,1/101,0.0589603608202286,0.0782912482139743,0,0,18.08,51.18248959763659,MAP3K8
63,KEGG_2019_Human,Toll-like receptor signaling pathway,1/104,0.0606618849615517,0.0782912482139743,0,0,17.550750220653132,49.1849192357055,MAP3K8
64,KEGG_2019_Human,TNF signaling pathway,1/110,0.0640564758114335,0.0782912482139743,0,0,16.579649708090074,45.56071409135395,MAP3K8
65,KEGG_2019_Human,Purine metabolism,1/129,0.0747319672289089,0.0822051639517998,0,0,14.105113636363637,36.58651144234639,ENPP3
114,GO_Biological_Process_2017b,phenylalanine catabolic process to phosphoenolpyruvate (GO:0019562),1/30,0.0178569680089386,0.0843245711533211,0,0,62.56739811912226,251.8563944353508,ENPP3
67,WikiPathways_2019_Human,Structural Pathway of Interleukin 1 (IL-1) WP2637,1/49,0.0290147415071519,0.0901425357895352,0,0,37.76515151515152,133.68679532449664,MAP3K8
68,WikiPathways_2019_Human,IL-3 Signaling Pathway WP286,1/49,0.0290147415071519,0.0901425357895352,0,0,37.76515151515152,133.68679532449664,ENPP3
71,WikiPathways_2019_Human,Pathways in clear cell renal cell carcinoma WP4018,1/85,0.0498377533507968,0.0901425357895352,0,0,21.541125541125545,64.60145815655738,ENPP3
70,WikiPathways_2019_Human,Pyrimidine metabolism WP4022,1/85,0.0498377533507968,0.0901425357895352,0,0,21.541125541125545,64.60145815655738,ENPP3
72,WikiPathways_2019_Human,T-Cell antigen Receptor (TCR)  Signaling Pathway WP69,1/90,0.0526972386749746,0.0901425357895352,0,0,20.325842696629213,59.82286212760923,MAP3K8
73,WikiPathways_2019_Human,TNF alpha Signaling Pathway WP231,1/92,0.0538388224488497,0.0901425357895352,0,0,19.87712287712288,58.07619178413111,MAP3K8
74,WikiPathways_2019_Human,Toll-like Receptor Signaling Pathway WP75,1/103,0.0600950238596901,0.0901425357895352,0,0,17.723707664884135,49.836021703830525,MAP3K8
69,WikiPathways_2019_Human,T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863,1/62,0.0365819328842958,0.0901425357895352,0,0,29.69746646795827,98.24518225287432,MAP3K8
3,GO_Biological_Process_2018,MAPK cascade (GO:0000165),2/278,0.0115900846394572,0.0908356213975928,0,0,14.284057971014493,63.67269278645147,MAP3K8;GFRA2
2,GO_Biological_Process_2018,negative regulation of TORC1 signaling (GO:1904262),1/15,0.0089653267055102,0.0908356213975928,0,0,129.7012987012987,611.4626002996463,ITFG2
1,GO_Biological_Process_2018,nucleoside triphosphate metabolic process (GO:0009141),1/14,0.0083699358209422,0.0908356213975928,0,0,139.6853146853147,668.1300945358273,ENPP3
4,GO_Biological_Process_2018,protein O-linked glycosylation via threonine (GO:0018243),1/21,0.0125307982775315,0.0908356213975928,0,0,90.76363636363637,397.5053179562565,GALNTL6
