,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2018,transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185),2/6,2.623727537628245e-05,0.0033846085235404,0,0,399.38,4212.791809360872,PTPRD;TRIO
1,GO_Biological_Process_2018,enzyme linked receptor protein signaling pathway (GO:0007167),3/120,0.0005546203099077218,0.035773009989048,0,0,21.213675213675213,159.04373443671076,PTPRD;TRIO;GFRA2
2,GO_Biological_Process_2018,regulation of synapse assembly (GO:0051963),2/35,0.0010159428226569,0.0436855413742467,0,0,48.339393939393936,333.15211605803563,PTPRD;ROBO2
140,GO_Biological_Process_2017b,transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185),2/13,0.00013564229227572053,0.0499163635574651,0,0,145.17818181818183,1292.8827507488604,PTPRD;TRIO
4,GO_Biological_Process_2018,axonogenesis (GO:0007409),3/223,0.0032832598560005,0.0847081042848133,0,0,11.223295454545454,64.18511191168743,ROBO2;LRFN2;GFRA2
3,GO_Biological_Process_2018,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),2/58,0.0027690078712777,0.0847081042848133,0,0,28.452857142857145,167.56644964163306,PTPRD;ROBO2
182,GO_Biological_Process_2017b,negative regulation by organism of programmed cell death in other organism involved in symbiotic interaction (GO:0052490),1/11,0.014753702756032,0.0939129031841749,0,0,76.78076923076924,323.7277777065472,MECOM
196,GO_Biological_Process_2017b,central nervous system neuron differentiation (GO:0021953),2/159,0.0193541254358985,0.0939129031841749,0,0,10.097324840764331,39.83242868117013,PTPRD;ROBO2
195,GO_Biological_Process_2017b,anterior/posterior pattern specification involved in ureteric bud development (GO:0072099),1/14,0.0187409364492418,0.0939129031841749,0,0,59.05325443786983,234.8574522333829,ROBO2
194,GO_Biological_Process_2017b,metanephric smooth muscle tissue development (GO:0072208),1/13,0.0174135879176465,0.0939129031841749,0,0,63.9775641025641,259.14140891073174,ROBO2
193,GO_Biological_Process_2017b,metanephric cortex development (GO:0072214),1/13,0.0174135879176465,0.0939129031841749,0,0,63.9775641025641,259.14140891073174,ROBO2
192,GO_Biological_Process_2017b,metanephric capsule development (GO:0072213),1/12,0.0160845107297618,0.0939129031841749,0,0,69.7972027972028,288.2553656873905,ROBO2
