,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2018,protein catabolic process (GO:0030163),2/81,0.0061270772239647,0.1090329379829391,0,0,18.6516643225504,95.03092806855284,PRKN;PGC
64,GO_Biological_Process_2018,mitochondrial membrane organization (GO:0007006),1/19,0.0272053167113753,0.1090329379829391,0,0,39.58928571428572,142.69335919589085,MAIP1
63,GO_Biological_Process_2018,mitochondrial calcium ion homeostasis (GO:0051560),1/19,0.0272053167113753,0.1090329379829391,0,0,39.58928571428572,142.69335919589085,MAIP1
62,GO_Biological_Process_2018,DNA methylation (GO:0006306),1/18,0.02579144685281,0.1090329379829391,0,0,41.92016806722689,153.33191684558912,ATF7IP
61,GO_Biological_Process_2018,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176),1/18,0.02579144685281,0.1090329379829391,0,0,41.92016806722689,153.33191684558912,PRKN
60,GO_Biological_Process_2018,regulation of protein localization to membrane (GO:1905475),1/17,0.0243755931875056,0.1090329379829391,0,0,44.54241071428572,165.43821595589523,PRKN
59,GO_Biological_Process_2018,glycosphingolipid biosynthetic process (GO:0006688),1/17,0.0243755931875056,0.1090329379829391,0,0,44.54241071428572,165.43821595589523,LARGE1
58,GO_Biological_Process_2018,protein mannosylation (GO:0035268),1/17,0.0243755931875056,0.1090329379829391,0,0,44.54241071428572,165.43821595589523,LARGE1
57,GO_Biological_Process_2018,negative regulation of reactive oxygen species metabolic process (GO:2000378),1/17,0.0243755931875056,0.1090329379829391,0,0,44.54241071428572,165.43821595589523,PRKN
65,GO_Biological_Process_2018,regulation of mitochondrial fission (GO:0090140),1/19,0.0272053167113753,0.1090329379829391,0,0,39.58928571428572,142.69335919589085,PRKN
56,GO_Biological_Process_2018,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),2/163,0.0232066044071455,0.1090329379829391,0,0,9.114331723027377,34.30013198622245,EDAR;PRKN
54,GO_Biological_Process_2018,regulation of dopamine secretion (GO:0014059),1/16,0.0229577530466617,0.1090329379829391,0,0,47.51428571428571,179.32364557493287,PRKN
53,GO_Biological_Process_2018,DNA alkylation (GO:0006305),1/16,0.0229577530466617,0.1090329379829391,0,0,47.51428571428571,179.32364557493287,ATF7IP
52,GO_Biological_Process_2018,regulation of exosomal secretion (GO:1903541),1/16,0.0229577530466617,0.1090329379829391,0,0,47.51428571428571,179.32364557493287,PRKN
51,GO_Biological_Process_2018,DNA methylation or demethylation (GO:0044728),1/16,0.0229577530466617,0.1090329379829391,0,0,47.51428571428571,179.32364557493287,ATF7IP
50,GO_Biological_Process_2018,negative regulation of signal transduction by p53 class mediator (GO:1901797),1/15,0.0215379237658092,0.1090329379829391,0,0,50.910714285714285,195.39226686727991,PRKN
49,GO_Biological_Process_2018,negative regulation of insulin secretion (GO:0046676),1/15,0.0215379237658092,0.1090329379829391,0,0,50.910714285714285,195.39226686727991,PRKN
48,GO_Biological_Process_2018,negative regulation of release of cytochrome c from mitochondria (GO:0090201),1/15,0.0215379237658092,0.1090329379829391,0,0,50.910714285714285,195.39226686727991,PRKN
46,GO_Biological_Process_2018,N-acetylglucosamine metabolic process (GO:0006044),1/14,0.020116102664845,0.1090329379829391,0,0,54.82967032967033,214.17755847607225,LARGE1
55,GO_Biological_Process_2018,negative regulation of peptide hormone secretion (GO:0090278),1/16,0.0229577530466617,0.1090329379829391,0,0,47.51428571428571,179.32364557493287,PRKN
45,GO_Biological_Process_2018,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236),1/14,0.020116102664845,0.1090329379829391,0,0,54.82967032967033,214.17755847607225,PRKN
66,GO_Biological_Process_2018,regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),1/20,0.0286172054274548,0.1090329379829391,0,0,37.50375939849624,133.2788782141628,PRKN
