,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
101,WikiPathways_2019_Human,Hippo-Yap signaling pathway WP4537,1/23,0.0205073714570783,0.1026514532152333,0,0,53.36898395721925,207.44368622737056,MAP4K4
105,WikiPathways_2019_Human,Phosphodiesterases in neuronal function WP4222,1/53,0.0466597514614696,0.1026514532152333,0,0,22.54524886877828,69.09833217880467,PDE1C
104,WikiPathways_2019_Human,Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534,1/47,0.0414826184608072,0.1026514532152333,0,0,25.493606138107417,81.1329113370927,MAP4K4
103,WikiPathways_2019_Human,Sleep regulation WP3591,1/38,0.0336671099659209,0.1026514532152333,0,0,31.70906200317965,107.5328454820737,BTBD9
102,WikiPathways_2019_Human,Striated Muscle Contraction Pathway WP383,1/38,0.0336671099659209,0.1026514532152333,0,0,31.70906200317965,107.5328454820737,MYOM1
114,GO_Biological_Process_2017b,modulation of chemical synaptic transmission (GO:0050804),1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
113,GO_Biological_Process_2017b,modulation by symbiont of host synaptic transmission (GO:0044758),1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
112,GO_Biological_Process_2017b,protein kinase A signaling (GO:0010737),1/9,0.0080724193100501,0.1207971678969165,0,0,146.86764705882354,707.7995527019895,MYOM1
146,GO_Biological_Process_2017b,galactosaminoglycan catabolic process (GO:0006028),1/25,0.0222717298790694,0.1207971678969165,0,0,48.91666666666666,186.10038260880103,GPC5
148,GO_Biological_Process_2017b,peptidoglycan catabolic process (GO:0009253),1/26,0.0231527832149216,0.1207971678969165,0,0,46.95764705882353,176.82560723797164,GPC5
149,GO_Biological_Process_2017b,modulation of inhibitory postsynaptic potential (GO:0098828),1/26,0.0231527832149216,0.1207971678969165,0,0,46.95764705882353,176.82560723797164,BTBD9
150,GO_Biological_Process_2017b,mucopolysaccharide metabolic process (GO:1903510),1/28,0.0249126411012733,0.1207971678969165,0,0,43.474945533769066,160.52601632867996,GPC5
151,GO_Biological_Process_2017b,glycosaminoglycan metabolic process (GO:0030203),1/28,0.0249126411012733,0.1207971678969165,0,0,43.474945533769066,160.52601632867996,GPC5
145,GO_Biological_Process_2017b,dermatan sulfate catabolic process (GO:0030209),1/25,0.0222717298790694,0.1207971678969165,0,0,48.91666666666666,186.10038260880103,GPC5
152,GO_Biological_Process_2017b,galactosaminoglycan metabolic process (GO:0046350),1/28,0.0249126411012733,0.1207971678969165,0,0,43.474945533769066,160.52601632867996,GPC5
153,GO_Biological_Process_2017b,peptidoglycan metabolic process (GO:0000270),1/28,0.0249126411012733,0.1207971678969165,0,0,43.474945533769066,160.52601632867996,GPC5
154,GO_Biological_Process_2017b,positive regulation of pancreatic trypsinogen secretion (GO:1904244),1/29,0.02579144685281,0.1207971678969165,0,0,41.92016806722689,153.33191684558912,MYOM1
155,GO_Biological_Process_2017b,positive regulation of matrix metallopeptidase secretion (GO:1904466),1/29,0.02579144685281,0.1207971678969165,0,0,41.92016806722689,153.33191684558912,MYOM1
156,GO_Biological_Process_2017b,positive regulation of secretion of lysosomal enzymes (GO:0090340),1/29,0.02579144685281,0.1207971678969165,0,0,41.92016806722689,153.33191684558912,MYOM1
157,GO_Biological_Process_2017b,modulation of excitatory postsynaptic potential (GO:0098815),1/29,0.02579144685281,0.1207971678969165,0,0,41.92016806722689,153.33191684558912,BTBD9
158,GO_Biological_Process_2017b,positive regulation of BMP secretion (GO:1900144),1/29,0.02579144685281,0.1207971678969165,0,0,41.92016806722689,153.33191684558912,MYOM1
159,GO_Biological_Process_2017b,positive regulation of pancreatic amylase secretion (GO:1902278),1/29,0.02579144685281,0.1207971678969165,0,0,41.92016806722689,153.33191684558912,MYOM1
160,GO_Biological_Process_2017b,"regulation of translation at synapse, modulating synaptic transmission (GO:0099547)",1/30,0.0266695046006179,0.1207971678969165,0,0,40.47261663286004,146.68225415832842,BTBD9
161,GO_Biological_Process_2017b,chondroitin sulfate proteoglycan metabolic process (GO:0050654),1/30,0.0266695046006179,0.1207971678969165,0,0,40.47261663286004,146.68225415832842,GPC5
162,GO_Biological_Process_2017b,positive regulation of Wnt protein secretion (GO:0061357),1/30,0.0266695046006179,0.1207971678969165,0,0,40.47261663286004,146.68225415832842,MYOM1
144,GO_Biological_Process_2017b,striated muscle contraction involved in embryonic body morphogenesis (GO:0061199),1/25,0.0222717298790694,0.1207971678969165,0,0,48.91666666666666,186.10038260880103,MYOM1
115,GO_Biological_Process_2017b,regulation of neuromuscular synaptic transmission (GO:1900073),1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
116,GO_Biological_Process_2017b,"trans-synaptic signaling, modulating synaptic transmission (GO:0099550)",1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
147,GO_Biological_Process_2017b,heparin catabolic process (GO:0030211),1/25,0.0222717298790694,0.1207971678969165,0,0,48.91666666666666,186.10038260880103,GPC5
118,GO_Biological_Process_2017b,regulation of postsynaptic neurotransmitter receptor activity (GO:0098962),1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
143,GO_Biological_Process_2017b,"regulation of synaptic transmission, glutamatergic (GO:0051966)",1/25,0.0222717298790694,0.1207971678969165,0,0,48.91666666666666,186.10038260880103,BTBD9
142,GO_Biological_Process_2017b,regulation of protein deubiquitination (GO:0090085),1/21,0.0187400067082949,0.1207971678969165,0,0,58.71176470588235,233.50224496360525,BTBD9
141,GO_Biological_Process_2017b,regulation of protein processing (GO:0070613),1/21,0.0187400067082949,0.1207971678969165,0,0,58.71176470588235,233.50224496360525,BTBD9
140,GO_Biological_Process_2017b,regulation of proteolysis (GO:0030162),1/21,0.0187400067082949,0.1207971678969165,0,0,58.71176470588235,233.50224496360525,BTBD9
139,GO_Biological_Process_2017b,regulation of peptidase activity (GO:0052547),1/21,0.0187400067082949,0.1207971678969165,0,0,58.71176470588235,233.50224496360525,BTBD9
138,GO_Biological_Process_2017b,regulation of protein desumoylation (GO:0060188),1/20,0.0178551954764704,0.1207971678969165,0,0,61.80495356037152,248.79341471282052,BTBD9
137,GO_Biological_Process_2017b,regulation of proteolysis involved in cellular protein catabolic process (GO:1903050),1/20,0.0178551954764704,0.1207971678969165,0,0,61.80495356037152,248.79341471282052,BTBD9
117,GO_Biological_Process_2017b,"regulation of modification of synapse structure, modulating synaptic transmission (GO:0098987)",1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
135,GO_Biological_Process_2017b,regulation of JUN kinase activity (GO:0043506),1/19,0.01696963087688,0.1207971678969165,0,0,65.24183006535948,265.9472259849427,MAP4K4
134,GO_Biological_Process_2017b,regulation of JNK cascade (GO:0046328),1/19,0.01696963087688,0.1207971678969165,0,0,65.24183006535948,265.9472259849427,MAP4K4
133,GO_Biological_Process_2017b,regulation of neurotransmitter secretion (GO:0046928),1/19,0.01696963087688,0.1207971678969165,0,0,65.24183006535948,265.9472259849427,BTBD9
132,GO_Biological_Process_2017b,"regulation of protein catabolic process at synapse, modulating synaptic transmission (GO:0099574)",1/19,0.01696963087688,0.1207971678969165,0,0,65.24183006535948,265.9472259849427,BTBD9
131,GO_Biological_Process_2017b,cardiac muscle myosin thick filament assembly (GO:0071690),1/18,0.0160833123117468,0.1207971678969165,0,0,69.08304498269896,285.3111137768628,MYOM1
136,GO_Biological_Process_2017b,regulation of protein deneddylation (GO:0060625),1/20,0.0178551954764704,0.1207971678969165,0,0,61.80495356037152,248.79341471282052,BTBD9
129,GO_Biological_Process_2017b,"regulation of synaptic transmission, GABAergic (GO:0032228)",1/15,0.01341982690512,0.1207971678969165,0,0,83.89915966386555,361.6911269349327,BTBD9
130,GO_Biological_Process_2017b,striated muscle myosin thick filament assembly (GO:0071688),1/16,0.0143084109196949,0.1207971678969165,0,0,78.30196078431372,332.5412031884909,MYOM1
120,GO_Biological_Process_2017b,"regulation of synaptic transmission, cholinergic (GO:0032222)",1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
121,GO_Biological_Process_2017b,"regulation of synaptic transmission, glycinergic (GO:0060092)",1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
119,GO_Biological_Process_2017b,"modification of synaptic structure, modulating synaptic transmission (GO:0099564)",1/10,0.0089655500933473,0.1207971678969165,0,0,130.54248366013073,615.425022203049,BTBD9
123,GO_Biological_Process_2017b,negative regulation of synaptic transmission (GO:0050805),1/12,0.0107495345067081,0.1207971678969165,0,0,106.79679144385028,484.0984098875249,BTBD9
122,GO_Biological_Process_2017b,rhythmic synaptic transmission (GO:0060024),1/11,0.0098579216348164,0.1207971678969165,0,0,117.48235294117649,542.7073703814344,BTBD9
125,GO_Biological_Process_2017b,regulation of synaptic activity (GO:0060025),1/12,0.0107495345067081,0.1207971678969165,0,0,106.79679144385028,484.0984098875249,BTBD9
126,GO_Biological_Process_2017b,positive regulation of synaptic transmission (GO:0050806),1/13,0.011640389286531,0.1207971678969165,0,0,97.8921568627451,435.94063546940737,BTBD9
127,GO_Biological_Process_2017b,"heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)",1/13,0.011640389286531,0.1207971678969165,0,0,97.8921568627451,435.94063546940737,HS6ST3
128,GO_Biological_Process_2017b,skeletal muscle myosin thick filament assembly (GO:0030241),1/14,0.0125304865571366,0.1207971678969165,0,0,90.3574660633484,395.7287161899813,MYOM1
124,GO_Biological_Process_2017b,"regulation of synaptic transmission, dopaminergic (GO:0032225)",1/12,0.0107495345067081,0.1207971678969165,0,0,106.79679144385028,484.0984098875249,BTBD9
170,GO_Biological_Process_2017b,galactosaminoglycan biosynthetic process (GO:0006025),1/37,0.0327950148043916,0.1214555882545341,0,0,32.591503267973856,111.38077026649428,GPC5
174,GO_Biological_Process_2017b,chondroitin sulfate catabolic process (GO:0030207),1/39,0.0345384624837867,0.1214555882545341,0,0,30.87306501547988,103.9089106040704,GPC5
173,GO_Biological_Process_2017b,positive regulation of immunoglobulin secretion (GO:0051024),1/38,0.0336671099659209,0.1214555882545341,0,0,31.70906200317965,107.5328454820737,MYOM1
172,GO_Biological_Process_2017b,skeletal muscle contraction (GO:0003009),1/37,0.0327950148043916,0.1214555882545341,0,0,32.591503267973856,111.38077026649428,MYOM1
169,GO_Biological_Process_2017b,negative regulation of JNK cascade (GO:0046329),1/37,0.0327950148043916,0.1214555882545341,0,0,32.591503267973856,111.38077026649428,MAP4K4
164,GO_Biological_Process_2017b,"protein catabolic process, modulating synaptic transmission (GO:0099546)",1/33,0.0292991957903235,0.1214555882545341,0,0,36.67279411764706,129.4621221594897,BTBD9
167,GO_Biological_Process_2017b,regulation of membrane protein ectodomain proteolysis (GO:0051043),1/34,0.030174267482518,0.1214555882545341,0,0,35.559714795008915,124.48623298308226,BTBD9
166,GO_Biological_Process_2017b,positive regulation of adiponectin secretion (GO:0070165),1/34,0.030174267482518,0.1214555882545341,0,0,35.559714795008915,124.48623298308226,MYOM1
165,GO_Biological_Process_2017b,positive regulation of prolactin secretion (GO:1902722),1/34,0.030174267482518,0.1214555882545341,0,0,35.559714795008915,124.48623298308226,MYOM1
163,GO_Biological_Process_2017b,positive regulation of renin secretion into blood stream (GO:1900135),1/31,0.0275468149406694,0.1214555882545341,0,0,39.12156862745098,140.51952455455398,MYOM1
176,GO_Biological_Process_2017b,heparin biosynthetic process (GO:0030210),1/40,0.035409072945574,0.1214555882545341,0,0,30.07993966817496,100.49067723322013,GPC5
168,GO_Biological_Process_2017b,keratan sulfate catabolic process (GO:0042340),1/36,0.0319221763964905,0.1214555882545341,0,0,33.52436974789916,115.4731604004656,GPC5
177,GO_Biological_Process_2017b,actin filament bundle organization (GO:0061572),1/40,0.035409072945574,0.1214555882545341,0,0,30.07993966817496,100.49067723322013,MYOM1
171,GO_Biological_Process_2017b,peptidoglycan biosynthetic process (GO:0009252),1/37,0.0327950148043916,0.1214555882545341,0,0,32.591503267973856,111.38077026649428,GPC5
179,GO_Biological_Process_2017b,hyaluronan catabolic process (GO:0030214),1/41,0.0362789419461595,0.1214555882545341,0,0,29.326470588235296,97.26176223664352,GPC5
178,GO_Biological_Process_2017b,actin filament branching (GO:0090135),1/41,0.0362789419461595,0.1214555882545341,0,0,29.326470588235296,97.26176223664352,MYOM1
175,GO_Biological_Process_2017b,actin filament organization (GO:0007015),1/40,0.035409072945574,0.1214555882545341,0,0,30.07993966817496,100.49067723322013,MYOM1
180,GO_Biological_Process_2017b,glycosaminoglycan catabolic process (GO:0006027),1/41,0.0362789419461595,0.1214555882545341,0,0,29.326470588235296,97.26176223664352,GPC5
182,GO_Biological_Process_2017b,hyaluronan biosynthetic process (GO:0030213),1/43,0.0380164579400951,0.121969469224472,0,0,27.92717086834734,91.3144790197023,GPC5
183,GO_Biological_Process_2017b,positive regulation of protein secretion (GO:0050714),1/43,0.0380164579400951,0.121969469224472,0,0,27.92717086834734,91.3144790197023,MYOM1
181,GO_Biological_Process_2017b,negative regulation of proteolysis (GO:0045861),1/42,0.0371480700853869,0.121969469224472,0,0,28.60975609756097,94.20744821276294,BTBD9
184,GO_Biological_Process_2017b,muscle thin filament assembly (GO:0071689),1/46,0.0406171857845244,0.1251009322163353,0,0,26.06143790849673,83.48948444789488,MYOM1
185,GO_Biological_Process_2017b,skeletal muscle thin filament assembly (GO:0030240),1/46,0.0406171857845244,0.1251009322163353,0,0,26.06143790849673,83.48948444789488,MYOM1
186,GO_Biological_Process_2017b,actin filament network formation (GO:0051639),1/46,0.0406171857845244,0.1251009322163353,0,0,26.06143790849673,83.48948444789488,MYOM1
187,GO_Biological_Process_2017b,glycosaminoglycan biosynthetic process (GO:0006024),1/48,0.0423473138141528,0.1263519485400096,0,0,24.94993742177722,78.88796682594588,GPC5
188,GO_Biological_Process_2017b,actin polymerization or depolymerization (GO:0008154),1/49,0.0432112724444188,0.1263519485400096,0,0,24.42892156862745,76.74721626832032,MYOM1
189,GO_Biological_Process_2017b,cardiac muscle thin filament assembly (GO:0071691),1/49,0.0432112724444188,0.1263519485400096,0,0,24.42892156862745,76.74721626832032,MYOM1
190,GO_Biological_Process_2017b,actin crosslink formation (GO:0051764),1/49,0.0432112724444188,0.1263519485400096,0,0,24.42892156862745,76.74721626832032,MYOM1
191,GO_Biological_Process_2017b,chondroitin sulfate proteoglycan biosynthetic process (GO:0050650),1/50,0.0440744949316926,0.12659076600299,0,0,23.92917166866747,74.70385911458476,GPC5
192,GO_Biological_Process_2017b,sarcomere organization (GO:0045214),1/51,0.0449369818711912,0.12659076600299,0,0,23.44941176470588,72.75166337328601,MYOM1
193,GO_Biological_Process_2017b,dermatan sulfate biosynthetic process (GO:0030208),1/51,0.0449369818711912,0.12659076600299,0,0,23.44941176470588,72.75166337328601,GPC5
194,GO_Biological_Process_2017b,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),1/52,0.0457987338494677,0.1274639460147837,0,0,22.988465974625143,70.88490801561363,PTPRT
95,KEGG_2019_Human,Taste transduction,1/83,0.0721516995917754,0.130704613491688,0,0,14.275466284074604,37.52997870137401,PDE1C
97,KEGG_2019_Human,Ribosome biogenesis in eukaryotes,1/101,0.0871364089944587,0.130704613491688,0,0,11.69529411764706,28.539797811620943,SPATA5
96,KEGG_2019_Human,Morphine addiction,1/91,0.0788400249120094,0.130704613491688,0,0,13.001307189542484,33.02766894797317,PDE1C
93,KEGG_2019_Human,Olfactory transduction,2/444,0.0595300690031704,0.130704613491688,0,0,5.526018099547511,15.590409710594148,PDE1C;NCALD
94,KEGG_2019_Human,Renin secretion,1/69,0.0603366373648496,0.130704613491688,0,0,17.226643598615915,48.3692416453001,PDE1C
92,KEGG_2019_Human,Glycosaminoglycan biosynthesis,1/53,0.0466597514614696,0.130704613491688,0,0,22.54524886877828,69.09833217880467,HS6ST3
236,GO_Biological_Process_2017b,hepatocyte growth factor receptor signaling pathway (GO:0048012),1/83,0.0721516995917754,0.1311867967124895,0,0,14.275466284074604,37.52997870137401,PTPRT
222,GO_Biological_Process_2017b,vesicle-mediated cholesterol transport (GO:0090119),1/75,0.0654175289767128,0.1311867967124895,0,0,15.825119236883944,43.154546742931096,NCALD
223,GO_Biological_Process_2017b,brain-derived neurotrophic factor receptor signaling pathway (GO:0031547),1/75,0.0654175289767128,0.1311867967124895,0,0,15.825119236883944,43.154546742931096,PTPRT
224,GO_Biological_Process_2017b,Golgi vesicle transport (GO:0048193),1/76,0.0662618175517913,0.1311867967124895,0,0,15.613333333333332,42.376795202067306,NCALD
225,GO_Biological_Process_2017b,ERBB signaling pathway (GO:0038127),1/76,0.0662618175517913,0.1311867967124895,0,0,15.613333333333332,42.376795202067306,PTPRT
241,GO_Biological_Process_2017b,trigeminal sensory nucleus development (GO:0021730),1/85,0.0738280674139551,0.1311867967124895,0,0,13.934173669467787,36.31268374332498,SPATA5
226,GO_Biological_Process_2017b,transcytosis (GO:0045056),1/76,0.0662618175517913,0.1311867967124895,0,0,15.613333333333332,42.376795202067306,NCALD
240,GO_Biological_Process_2017b,platelet-derived growth factor receptor signaling pathway (GO:0048008),1/85,0.0738280674139551,0.1311867967124895,0,0,13.934173669467787,36.31268374332498,PTPRT
227,GO_Biological_Process_2017b,collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063),1/76,0.0662618175517913,0.1311867967124895,0,0,15.613333333333332,42.376795202067306,PTPRT
228,GO_Biological_Process_2017b,plasma membrane to endosome transport (GO:0048227),1/77,0.0671053857579431,0.1311867967124895,0,0,15.407120743034056,41.62219761611141,NCALD
