,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
189,GO_Biological_Process_2017b,determination of left/right asymmetry in nervous system (GO:0035545),4/270,8.562439270156203e-05,0.0042211174663762,0,0,21.177228786251344,198.3361907823317,HDAC4;GDA;ADORA1;NRG1
183,GO_Biological_Process_2017b,stomatogastric nervous system development (GO:0007421),4/244,5.7811886527093854e-05,0.0042211174663762,0,0,23.502380952380957,229.34366370910396,HDAC4;GDA;ADORA1;NRG1
184,GO_Biological_Process_2017b,ganglion development (GO:0061548),4/244,5.7811886527093854e-05,0.0042211174663762,0,0,23.502380952380957,229.34366370910396,HDAC4;GDA;ADORA1;NRG1
185,GO_Biological_Process_2017b,nervous system development (GO:0007399),4/244,5.7811886527093854e-05,0.0042211174663762,0,0,23.502380952380957,229.34366370910396,HDAC4;GDA;ADORA1;NRG1
186,GO_Biological_Process_2017b,autonomic nervous system development (GO:0048483),4/245,5.8738369257619625e-05,0.0042211174663762,0,0,23.40367516301126,228.00837200619767,HDAC4;GDA;ADORA1;NRG1
187,GO_Biological_Process_2017b,peripheral nervous system development (GO:0007422),4/255,6.861136518290663e-05,0.0042211174663762,0,0,22.45987478656801,215.3239956617481,HDAC4;GDA;ADORA1;NRG1
188,GO_Biological_Process_2017b,neural tube development (GO:0021915),4/259,7.288132173784914e-05,0.0042211174663762,0,0,22.103081232493,210.56894145333203,HDAC4;GDA;ADORA1;NRG1
190,GO_Biological_Process_2017b,neurogenesis (GO:0022008),4/272,8.810505120437242e-05,0.0042211174663762,0,0,21.017057569296377,196.23586072232465,HDAC4;GDA;ADORA1;NRG1
191,GO_Biological_Process_2017b,regulation of protein homodimerization activity (GO:0043496),2/16,9.11177629974979e-05,0.0042211174663762,0,0,178.28571428571428,1658.6557887027404,HDAC4;NRG1
192,GO_Biological_Process_2017b,regulation of protein heterodimerization activity (GO:0043497),2/17,0.00010321185160705684,0.0042211174663762,0,0,166.39166666666668,1527.2636618368022,HDAC4;NRG1
193,GO_Biological_Process_2017b,synapse assembly (GO:0007416),4/285,0.00010552793665940568,0.0042211174663762,0,0,20.031520081342144,183.41931147576096,HDAC4;GDA;ADORA1;NRG1
194,GO_Biological_Process_2017b,central nervous system development (GO:0007417),4/333,0.0001920228385167544,0.0070408374122809,0,0,17.06730351715154,146.06021263737347,HDAC4;GDA;ADORA1;NRG1
196,GO_Biological_Process_2017b,ERBB2-ERBB3 signaling pathway (GO:0038133),2/39,0.0005558029199639917,0.0174680917702968,0,0,67.38175675675676,505.03278857308806,ERBIN;NRG1
