,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
185,WikiPathways_2019_Human,Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864,2/53,0.0005274747206097833,0.0189890899419522,0,0,71.07308377896614,536.4176760073683,NRG1;PTK2
221,GO_Biological_Process_2017b,mammary gland fat development (GO:0060611),2/17,5.274920091662329e-05,0.0244756292253132,0,0,242.0848484848485,2384.5265424278687,ARID5B;NRG1
186,WikiPathways_2019_Human,ErbB Signaling Pathway WP673,2/91,0.0015458243502584,0.0278248383046524,0,0,40.64964249233912,263.0925328432116,NRG1;PTK2
164,KEGG_2019_Human,ErbB signaling pathway,2/85,0.0013506073370488,0.0283627540780261,0,0,43.6013143483023,288.08264376961074,NRG1;PTK2
232,GO_Biological_Process_2017b,positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis (GO:1905312),2/145,0.0038638146103098,0.0538393549900015,0,0,25.23076923076923,140.18468556413987,CEMIP;PTK2
269,GO_Biological_Process_2017b,mammary gland development (GO:0030879),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,NRG1
268,GO_Biological_Process_2017b,negative regulation of cell-glial cell adhesion involved in cerebral cortex lamination (GO:0021821),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,PTK2
267,GO_Biological_Process_2017b,regulation of cell adhesion mediated by integrin (GO:0033628),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,PTK2
266,GO_Biological_Process_2017b,left ventricular trabecular myocardium morphogenesis (GO:0003225),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,NRG1
265,GO_Biological_Process_2017b,right ventricular trabecular myocardium morphogenesis (GO:0003227),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,NRG1
264,GO_Biological_Process_2017b,adipose tissue development (GO:0060612),1/9,0.005835902950749,0.0538393549900015,0,0,208.11458333333331,1070.4844511001115,ARID5B
263,GO_Biological_Process_2017b,fat pad development (GO:0060613),1/9,0.005835902950749,0.0538393549900015,0,0,208.11458333333331,1070.4844511001115,ARID5B
262,GO_Biological_Process_2017b,regulation of endothelial cell chemotaxis (GO:2001026),1/9,0.005835902950749,0.0538393549900015,0,0,208.11458333333331,1070.4844511001115,PTK2
261,GO_Biological_Process_2017b,positive regulation of cerebellar granule cell migration by calcium (GO:0021945),2/178,0.0057601131370258,0.0538393549900015,0,0,20.46590909090909,105.53856239639866,CEMIP;PTK2
260,GO_Biological_Process_2017b,positive regulation of epithelial cell migration (GO:0010634),2/172,0.0053891017442756,0.0538393549900015,0,0,21.194652406417116,110.70765058163104,CEMIP;PTK2
259,GO_Biological_Process_2017b,regulation of blood vessel endothelial cell migration (GO:0043535),1/8,0.0051890223794998,0.0538393549900015,0,0,237.8571428571429,1251.416370420653,PTK2
270,GO_Biological_Process_2017b,negative regulation of epithelial cell-cell adhesion involved in epithelium migration (GO:1903682),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,PTK2
271,GO_Biological_Process_2017b,delamination (GO:0060232),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,PTK2
272,GO_Biological_Process_2017b,thelarche (GO:0042695),1/10,0.006482395492037,0.0538393549900015,0,0,184.9814814814815,932.059746399125,NRG1
273,GO_Biological_Process_2017b,positive regulation of cell migration (GO:0030335),2/193,0.0067376943015652,0.0538393549900015,0,0,18.844359828653023,94.22250588855356,CEMIP;PTK2
274,GO_Biological_Process_2017b,negative regulation of calcium-independent cell-cell adhesion (GO:0051042),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,PTK2
275,GO_Biological_Process_2017b,cardiac pacemaker cell differentiation (GO:0060920),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,NRG1
276,GO_Biological_Process_2017b,negative regulation of homophilic cell adhesion (GO:1903386),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,PTK2
277,GO_Biological_Process_2017b,atrial cardiac muscle cell differentiation (GO:0055011),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,NRG1
278,GO_Biological_Process_2017b,cardiac neural crest cell development involved in heart development (GO:0061308),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,NRG1
279,GO_Biological_Process_2017b,His-Purkinje system cell differentiation (GO:0060932),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,NRG1
280,GO_Biological_Process_2017b,positive regulation of myotube differentiation (GO:0010831),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,NRG1
281,GO_Biological_Process_2017b,negative regulation of calcium-dependent cell-cell adhesion (GO:0046588),1/11,0.00712850018242,0.0538393549900015,0,0,166.475,822.994869532877,PTK2
282,GO_Biological_Process_2017b,ventricular cardiac muscle cell differentiation (GO:0055012),1/12,0.0077742172076079,0.0538393549900015,0,0,151.33333333333334,735.0172993440868,NRG1
283,GO_Biological_Process_2017b,placenta development (GO:0001890),1/12,0.0077742172076079,0.0538393549900015,0,0,151.33333333333334,735.0172993440868,PTK2
284,GO_Biological_Process_2017b,negative regulation of homotypic cell-cell adhesion (GO:0034111),1/12,0.0077742172076079,0.0538393549900015,0,0,151.33333333333334,735.0172993440868,PTK2
285,GO_Biological_Process_2017b,cardiac muscle cell myoblast differentiation (GO:0060379),1/12,0.0077742172076079,0.0538393549900015,0,0,151.33333333333334,735.0172993440868,NRG1
286,GO_Biological_Process_2017b,negative regulation of leukocyte cell-cell adhesion (GO:1903038),1/12,0.0077742172076079,0.0538393549900015,0,0,151.33333333333334,735.0172993440868,PTK2
258,GO_Biological_Process_2017b,regulation of border follicle cell migration (GO:1903684),1/8,0.0051890223794998,0.0538393549900015,0,0,237.8571428571429,1251.416370420653,PTK2
