,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2018,activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171),1/6,0.0053884659389882,0.0633585030462752,0,0,235.0235294117647,1227.644124299904,NRG1
32,GO_Biological_Process_2018,posttranscriptional gene silencing by RNA (GO:0035194),1/18,0.0160833123117468,0.0633585030462752,0,0,69.08304498269896,285.3111137768628,LIMD1
31,GO_Biological_Process_2018,heart trabecula morphogenesis (GO:0061384),1/18,0.0160833123117468,0.0633585030462752,0,0,69.08304498269896,285.3111137768628,NRG1
30,GO_Biological_Process_2018,regulation of canonical Wnt signaling pathway (GO:0060828),2/213,0.0154393778286823,0.0633585030462752,0,0,11.712677725118484,48.85163485318962,LIMD1;RNF220
29,GO_Biological_Process_2018,positive regulation of striated muscle cell differentiation (GO:0051155),1/17,0.0151962391911868,0.0633585030462752,0,0,73.40441176470588,307.3227868353231,NRG1
28,GO_Biological_Process_2018,myoblast differentiation (GO:0045445),1/16,0.0143084109196949,0.0633585030462752,0,0,78.30196078431372,332.5412031884909,NRG1
27,GO_Biological_Process_2018,regulation of protein homodimerization activity (GO:0043496),1/16,0.0143084109196949,0.0633585030462752,0,0,78.30196078431372,332.5412031884909,NRG1
26,GO_Biological_Process_2018,mesenchymal cell development (GO:0014031),1/15,0.01341982690512,0.0633585030462752,0,0,83.89915966386555,361.6911269349327,NRG1
25,GO_Biological_Process_2018,membrane repolarization during cardiac muscle cell action potential (GO:0086013),1/15,0.01341982690512,0.0633585030462752,0,0,83.89915966386555,361.6911269349327,KCND3
24,GO_Biological_Process_2018,cardiac muscle cell differentiation (GO:0055007),1/15,0.01341982690512,0.0633585030462752,0,0,83.89915966386555,361.6911269349327,NRG1
23,GO_Biological_Process_2018,neural crest cell differentiation (GO:0014033),1/15,0.01341982690512,0.0633585030462752,0,0,83.89915966386555,361.6911269349327,NRG1
22,GO_Biological_Process_2018,negative regulation of secretion (GO:0051048),1/14,0.0125304865571366,0.0633585030462752,0,0,90.3574660633484,395.7287161899813,NRG1
21,GO_Biological_Process_2018,gliogenesis (GO:0042063),1/14,0.0125304865571366,0.0633585030462752,0,0,90.3574660633484,395.7287161899813,NFIB
20,GO_Biological_Process_2018,stem cell development (GO:0048864),1/14,0.0125304865571366,0.0633585030462752,0,0,90.3574660633484,395.7287161899813,NRG1
19,GO_Biological_Process_2018,regulation of secretion (GO:0051046),1/14,0.0125304865571366,0.0633585030462752,0,0,90.3574660633484,395.7287161899813,NRG1
18,GO_Biological_Process_2018,cardiocyte differentiation (GO:0035051),1/13,0.011640389286531,0.0633585030462752,0,0,97.8921568627451,435.94063546940737,NRG1
17,GO_Biological_Process_2018,membrane repolarization (GO:0086009),1/13,0.011640389286531,0.0633585030462752,0,0,97.8921568627451,435.94063546940737,KCND3
7,GO_Biological_Process_2018,potassium ion export (GO:0071435),1/9,0.0080724193100501,0.0633585030462752,0,0,146.86764705882354,707.7995527019895,KCND3
2,GO_Biological_Process_2018,ventricular cardiac muscle cell membrane repolarization (GO:0099625),1/8,0.0071785287204102,0.0633585030462752,0,0,167.85714285714286,828.6537822644398,KCND3
3,GO_Biological_Process_2018,ventricular trabecula myocardium morphogenesis (GO:0003222),1/8,0.0071785287204102,0.0633585030462752,0,0,167.85714285714286,828.6537822644398,NRG1
4,GO_Biological_Process_2018,osteoblast development (GO:0002076),1/8,0.0071785287204102,0.0633585030462752,0,0,167.85714285714286,828.6537822644398,LIMD1
5,GO_Biological_Process_2018,negative regulation of hippo signaling (GO:0035331),1/8,0.0071785287204102,0.0633585030462752,0,0,167.85714285714286,828.6537822644398,LIMD1
