,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
95,WikiPathways_2019_Human,BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation WP3876,1/13,0.0154926555661662,0.1027350065471015,0,0,72.33333333333333,301.441152263015,SMAD9
97,WikiPathways_2019_Human,Ciliary landscape WP4352,2/216,0.0274145221746449,0.1027350065471015,0,0,8.395072217502124,30.194408488211764,MCM9;LRPPRC
98,WikiPathways_2019_Human,Differentiation of white and brown adipocyte    WP2895,1/25,0.0295892653137072,0.1027350065471015,0,0,36.14492753623188,127.2425658336615,SMAD9
99,WikiPathways_2019_Human,T-Cell Receptor and Co-stimulatory Signaling WP2583,1/29,0.0342450021823671,0.1027350065471015,0,0,30.975155279503102,104.51682262493934,ITK
96,WikiPathways_2019_Human,Neovascularisation processes WP4331,1/21,0.0249120249496479,0.1027350065471015,0,0,43.38260869565217,160.18614661402282,SMAD9
100,WikiPathways_2019_Human,Aryl Hydrocarbon Receptor Pathway WP2873,1/46,0.05379417048562,0.1178662794443166,0,0,19.257004830917875,56.28033307969816,MYOF
101,WikiPathways_2019_Human,Hepatitis C and Hepatocellular Carcinoma WP3646,1/49,0.0572044222192574,0.1178662794443166,0,0,18.05072463768116,51.645362778983234,MYOF
102,WikiPathways_2019_Human,TGF-beta Receptor Signaling WP560,1/54,0.0628620157036355,0.1178662794443166,0,0,16.343724364232976,45.22003200693963,SMAD9
103,WikiPathways_2019_Human,T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863,1/62,0.0718465495096426,0.1197442491827376,0,0,14.194583036350677,37.3774981425394,ITK
12,GO_Biological_Process_2018,glycosphingolipid biosynthetic process (GO:0006688),1/17,0.0202131865779684,0.1383825850337838,0,0,54.23913043478261,211.60963296162683,LARGE1
11,GO_Biological_Process_2018,protein mannosylation (GO:0035268),1/17,0.0202131865779684,0.1383825850337838,0,0,54.23913043478261,211.60963296162683,LARGE1
0,GO_Biological_Process_2018,"establishment of mitochondrion localization, microtubule-mediated (GO:0034643)",1/6,0.0071792448741713,0.1383825850337838,0,0,173.66086956521738,857.2874884567655,LRPPRC
9,GO_Biological_Process_2018,N-acetylglucosamine metabolic process (GO:0006044),1/14,0.0166748271779813,0.1383825850337838,0,0,66.76588628762542,273.3298608380045,LARGE1
1,GO_Biological_Process_2018,ventricular cardiac muscle cell membrane repolarization (GO:0099625),1/8,0.0095613427178271,0.1383825850337838,0,0,124.03105590062113,576.7477724354015,KCND3
8,GO_Biological_Process_2018,glucosamine-containing compound metabolic process (GO:1901071),1/13,0.0154926555661662,0.1383825850337838,0,0,72.33333333333333,301.441152263015,LARGE1
4,GO_Biological_Process_2018,membrane repolarization during action potential (GO:0086011),1/11,0.0131242257813257,0.1383825850337838,0,0,86.80869565217391,376.1677267870623,KCND3
5,GO_Biological_Process_2018,protein O-linked mannosylation (GO:0035269),1/11,0.0131242257813257,0.1383825850337838,0,0,86.80869565217391,376.1677267870623,LARGE1
6,GO_Biological_Process_2018,mitochondrion transport along microtubule (GO:0047497),1/12,0.014309122256811,0.1383825850337838,0,0,78.91304347826087,335.1324919763037,LRPPRC
7,GO_Biological_Process_2018,membrane repolarization (GO:0086009),1/13,0.0154926555661662,0.1383825850337838,0,0,72.33333333333333,301.441152263015,KCND3
10,GO_Biological_Process_2018,membrane repolarization during cardiac muscle cell action potential (GO:0086013),1/15,0.0178556385652366,0.1383825850337838,0,0,61.993788819875775,249.55202523941097,KCND3
2,GO_Biological_Process_2018,potassium ion export (GO:0071435),1/9,0.0107503374648081,0.1383825850337838,0,0,108.52173913043478,491.9093069362492,KCND3
3,GO_Biological_Process_2018,cardiac muscle cell membrane repolarization (GO:0099622),1/11,0.0131242257813257,0.1383825850337838,0,0,86.80869565217391,376.1677267870623,KCND3
22,GO_Biological_Process_2018,macromolecule catabolic process (GO:0009057),1/34,0.0400345775570758,0.1395687527094581,0,0,26.27536231884058,84.55442492330164,PGC
13,GO_Biological_Process_2018,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),1/21,0.0249120249496479,0.1395687527094581,0,0,43.38260869565217,160.18614661402282,SMAD9
14,GO_Biological_Process_2018,activation of phospholipase C activity (GO:0007202),1/22,0.0260833561592032,0.1395687527094581,0,0,41.31469979296066,150.65231192236567,ITK
15,GO_Biological_Process_2018,macromolecule modification (GO:0043412),1/24,0.0284219748654964,0.1395687527094581,0,0,37.71833648393195,134.2996324147713,LRPPRC
16,GO_Biological_Process_2018,female gamete generation (GO:0007292),1/25,0.0295892653137072,0.1395687527094581,0,0,36.14492753623188,127.2425658336615,MCM9
17,GO_Biological_Process_2018,skeletal muscle organ development (GO:0060538),1/29,0.0342450021823671,0.1395687527094581,0,0,30.975155279503102,104.51682262493934,LARGE1
18,GO_Biological_Process_2018,cardiac muscle cell action potential (GO:0086001),1/29,0.0342450021823671,0.1395687527094581,0,0,30.975155279503102,104.51682262493934,KCND3
21,GO_Biological_Process_2018,organelle transport along microtubule (GO:0072384),1/31,0.036564836271725,0.1395687527094581,0,0,28.9072463768116,95.64448851318151,LRPPRC
19,GO_Biological_Process_2018,carbohydrate derivative biosynthetic process (GO:1901137),1/29,0.0342450021823671,0.1395687527094581,0,0,30.975155279503102,104.51682262493934,LARGE1
26,GO_Biological_Process_2018,secondary alcohol biosynthetic process (GO:1902653),1/36,0.0423410822826446,0.1395687527094581,0,0,24.77142857142857,78.32719402267635,CNBP
20,GO_Biological_Process_2018,positive regulation of phospholipase C activity (GO:0010863),1/30,0.035405587532064,0.1395687527094581,0,0,29.90554722638681,99.91101302805887,ITK
24,GO_Biological_Process_2018,cholesterol biosynthetic process (GO:0006695),1/35,0.0411884945546998,0.1395687527094581,0,0,25.50127877237852,81.33878492786673,CNBP
23,GO_Biological_Process_2018,regulation of heart rate by cardiac conduction (GO:0086091),1/35,0.0411884945546998,0.1395687527094581,0,0,25.50127877237852,81.33878492786673,KCND3
25,GO_Biological_Process_2018,plasma membrane organization (GO:0007009),1/36,0.0423410822826446,0.1395687527094581,0,0,24.77142857142857,78.32719402267635,MYOF
27,GO_Biological_Process_2018,sterol biosynthetic process (GO:0016126),1/40,0.0469381696680575,0.1491963250163259,0,0,22.22630992196209,67.98859468163421,CNBP
28,GO_Biological_Process_2018,glycolipid biosynthetic process (GO:0009247),1/42,0.0492287756703269,0.1510814149882448,0,0,21.139978791092258,63.65833096505315,LARGE1
104,WikiPathways_2019_Human,T-Cell antigen Receptor (TCR)  Signaling Pathway WP69,1/90,0.1026468550534564,0.1539702825801846,0,0,9.715192965315095,22.1162556930706,ITK
29,GO_Biological_Process_2018,peptidyl-tyrosine autophosphorylation (GO:0038083),1/45,0.0526547952997809,0.1562092260560167,0,0,19.695652173913043,57.98395993375175,ITK
35,GO_Biological_Process_2018,organonitrogen compound catabolic process (GO:1901565),1/56,0.0651159309062086,0.1566302121797991,0,0,15.747826086956522,43.01654198332297,PGC
34,GO_Biological_Process_2018,RNA modification (GO:0009451),1/54,0.0628620157036355,0.1566302121797991,0,0,16.343724364232976,45.22003200693963,LRPPRC
33,GO_Biological_Process_2018,glycosphingolipid metabolic process (GO:0006687),1/54,0.0628620157036355,0.1566302121797991,0,0,16.343724364232976,45.22003200693963,LARGE1
32,GO_Biological_Process_2018,wound healing (GO:0042060),1/50,0.0583385530130099,0.1566302121797991,0,0,17.68145519077196,50.24171555062859,MYOF
31,GO_Biological_Process_2018,blood circulation (GO:0008015),1/50,0.0583385530130099,0.1566302121797991,0,0,17.68145519077196,50.24171555062859,MYOF
30,GO_Biological_Process_2018,glycoprotein metabolic process (GO:0009100),1/48,0.0560689824984696,0.1566302121797991,0,0,18.43570767807585,53.1164542750393,LARGE1
36,GO_Biological_Process_2018,cellular defense response (GO:0006968),1/56,0.0651159309062086,0.1566302121797991,0,0,15.747826086956522,43.01654198332297,ITK
121,GO_Biological_Process_2017b,myotube differentiation involved in skeletal muscle regeneration (GO:0014908),1/7,0.0083709789916443,0.1567407536169758,0,0,144.71014492753622,692.1463710595567,LARGE1
120,GO_Biological_Process_2017b,positive regulation of transcription from RNA polymerase II promoter in response to methylglyoxal (GO:0097239),1/7,0.0083709789916443,0.1567407536169758,0,0,144.71014492753622,692.1463710595567,SMAD9
119,GO_Biological_Process_2017b,positive regulation of transcription from RNA polymerase II promoter in response to maltose (GO:1904765),1/7,0.0083709789916443,0.1567407536169758,0,0,144.71014492753622,692.1463710595567,SMAD9
117,GO_Biological_Process_2017b,FasL biosynthetic process (GO:0045210),1/6,0.0071792448741713,0.1567407536169758,0,0,173.66086956521738,857.2874884567655,LARGE1
