,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
147,GO_Biological_Process_2017b,negative regulation of metanephric mesenchymal cell migration (GO:2000590),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
137,GO_Biological_Process_2017b,positive regulation of dendrite development (GO:1900006),2/62,0.0031571877933943,0.0767264508619422,0,0,26.550666666666668,152.8806924349947,CAMK1D;MAGI2
138,GO_Biological_Process_2017b,positive regulation of axonogenesis (GO:0050772),2/71,0.0041180454204615,0.0767264508619422,0,0,23.07710144927536,126.74813293504668,CAMK1D;MAGI2
139,GO_Biological_Process_2017b,negative regulation of distal tip cell migration (GO:1903355),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
140,GO_Biological_Process_2017b,negative regulation of mesenchymal stem cell migration (GO:1905321),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
141,GO_Biological_Process_2017b,negative regulation of neuroblast migration (GO:0061855),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
142,GO_Biological_Process_2017b,neuromast deposition (GO:0048885),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
143,GO_Biological_Process_2017b,negative regulation of hematopoietic stem cell migration (GO:2000472),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
144,GO_Biological_Process_2017b,negative regulation of cell migration in other organism (GO:0044622),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
145,GO_Biological_Process_2017b,negative regulation of formation of radial glial scaffolds (GO:0061925),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
146,GO_Biological_Process_2017b,negative regulation of glial cell migration (GO:1903976),2/77,0.0048247783322074,0.0767264508619422,0,0,21.224533333333333,113.21145888587664,MAGI2;SRGAP3
