Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	1/5	4.492293e-03	6.884955e-02	0	0	2.937941e+02	1.588072e+03	NRG1
GO_Biological_Process_2021	cardiac muscle cell myoblast differentiation (GO:0060379)	1/5	4.492293e-03	6.884955e-02	0	0	2.937941e+02	1.588072e+03	NRG1
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	1/5	4.492293e-03	6.884955e-02	0	0	2.937941e+02	1.588072e+03	NRG1
GO_Biological_Process_2021	activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	1/6	5.388466e-03	6.884955e-02	0	0	2.350235e+02	1.227644e+03	NRG1
GO_Biological_Process_2021	regulation of striated muscle cell differentiation (GO:0051153)	1/7	6.283878e-03	6.884955e-02	0	0	1.958431e+02	9.928793e+02	NRG1
GO_Biological_Process_2021	mRNA transcription by RNA polymerase II (GO:0042789)	1/7	6.283878e-03	6.884955e-02	0	0	1.958431e+02	9.928793e+02	TFCP2
GO_Biological_Process_2021	potassium ion transmembrane transport (GO:0071805)	2/139	6.821220e-03	6.884955e-02	0	0	1.810675e+01	9.031135e+01	KCND3;SLC12A9
GO_Biological_Process_2021	ventricular cardiac muscle cell membrane repolarization (GO:0099625)	1/8	7.178529e-03	6.884955e-02	0	0	1.678571e+02	8.286538e+02	KCND3
GO_Biological_Process_2021	ventricular trabecula myocardium morphogenesis (GO:0003222)	1/8	7.178529e-03	6.884955e-02	0	0	1.678571e+02	8.286538e+02	NRG1
GO_Biological_Process_2021	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	1/8	7.178529e-03	6.884955e-02	0	0	1.678571e+02	8.286538e+02	PTPRB
GO_Biological_Process_2021	protein O-linked glycosylation via threonine (GO:0018243)	1/9	8.072419e-03	6.884955e-02	0	0	1.468676e+02	7.077996e+02	GALNTL6
GO_Biological_Process_2021	monovalent inorganic anion homeostasis (GO:0055083)	1/10	8.965550e-03	6.884955e-02	0	0	1.305425e+02	6.154250e+02	SLC12A9
GO_Biological_Process_2021	chloride ion homeostasis (GO:0055064)	1/10	8.965550e-03	6.884955e-02	0	0	1.305425e+02	6.154250e+02	SLC12A9
GO_Biological_Process_2021	hematopoietic stem cell proliferation (GO:0071425)	1/11	9.857922e-03	6.884955e-02	0	0	1.174824e+02	5.427074e+02	ETV6
GO_Biological_Process_2021	cardiac muscle cell membrane repolarization (GO:0099622)	1/11	9.857922e-03	6.884955e-02	0	0	1.174824e+02	5.427074e+02	KCND3
GO_Biological_Process_2021	cardiocyte differentiation (GO:0035051)	1/12	1.074953e-02	6.884955e-02	0	0	1.067968e+02	4.840984e+02	NRG1
GO_Biological_Process_2021	mRNA transcription (GO:0009299)	1/12	1.074953e-02	6.884955e-02	0	0	1.067968e+02	4.840984e+02	TFCP2
GO_Biological_Process_2021	negative regulation of secretion (GO:0051048)	1/14	1.253049e-02	6.884955e-02	0	0	9.035747e+01	3.957287e+02	NRG1
GO_Biological_Process_2021	potassium ion export across plasma membrane (GO:0097623)	1/14	1.253049e-02	6.884955e-02	0	0	9.035747e+01	3.957287e+02	KCND3
GO_Biological_Process_2021	membrane repolarization during action potential (GO:0086011)	1/14	1.253049e-02	6.884955e-02	0	0	9.035747e+01	3.957287e+02	KCND3
GO_Biological_Process_2021	regulation of secretion (GO:0051046)	1/15	1.341983e-02	6.884955e-02	0	0	8.389916e+01	3.616911e+02	NRG1
GO_Biological_Process_2021	myoblast differentiation (GO:0045445)	1/15	1.341983e-02	6.884955e-02	0	0	8.389916e+01	3.616911e+02	NRG1
GO_Biological_Process_2021	membrane repolarization during cardiac muscle cell action potential (GO:0086013)	1/15	1.341983e-02	6.884955e-02	0	0	8.389916e+01	3.616911e+02	KCND3
GO_Biological_Process_2021	membrane repolarization (GO:0086009)	1/16	1.430841e-02	6.904884e-02	0	0	7.830196e+01	3.325412e+02	KCND3
GO_Biological_Process_2021	stem cell development (GO:0048864)	1/17	1.519624e-02	6.904884e-02	0	0	7.340441e+01	3.073228e+02	NRG1
GO_Biological_Process_2021	heart trabecula morphogenesis (GO:0061384)	1/19	1.696963e-02	6.904884e-02	0	0	6.524183e+01	2.659472e+02	NRG1
GO_Biological_Process_2021	striated muscle cell differentiation (GO:0051146)	1/19	1.696963e-02	6.904884e-02	0	0	6.524183e+01	2.659472e+02	NRG1
GO_Biological_Process_2021	neural crest cell differentiation (GO:0014033)	1/19	1.696963e-02	6.904884e-02	0	0	6.524183e+01	2.659472e+02	NRG1
GO_Biological_Process_2021	mesenchymal cell development (GO:0014031)	1/19	1.696963e-02	6.904884e-02	0	0	6.524183e+01	2.659472e+02	NRG1
GO_Biological_Process_2021	cellular response to estradiol stimulus (GO:0071392)	1/21	1.874001e-02	7.371069e-02	0	0	5.871176e+01	2.335022e+02	FAM210B
GO_Biological_Process_2021	cardiac muscle cell differentiation (GO:0055007)	1/24	2.138993e-02	7.648519e-02	0	0	5.104604e+01	1.962636e+02	NRG1
GO_Biological_Process_2021	potassium ion homeostasis (GO:0055075)	1/24	2.138993e-02	7.648519e-02	0	0	5.104604e+01	1.962636e+02	SLC12A9
GO_Biological_Process_2021	mammary gland development (GO:0030879)	1/24	2.138993e-02	7.648519e-02	0	0	5.104604e+01	1.962636e+02	NRG1
GO_Biological_Process_2021	positive regulation of erythrocyte differentiation (GO:0045648)	1/27	2.403309e-02	7.664606e-02	0	0	4.514932e+01	1.683313e+02	FAM210B
GO_Biological_Process_2021	monovalent inorganic cation homeostasis (GO:0055067)	1/27	2.403309e-02	7.664606e-02	0	0	4.514932e+01	1.683313e+02	SLC12A9
GO_Biological_Process_2021	positive regulation of striated muscle cell differentiation (GO:0051155)	1/27	2.403309e-02	7.664606e-02	0	0	4.514932e+01	1.683313e+02	NRG1
GO_Biological_Process_2021	positive regulation of muscle cell differentiation (GO:0051149)	1/27	2.403309e-02	7.664606e-02	0	0	4.514932e+01	1.683313e+02	NRG1
GO_Biological_Process_2021	cardiac muscle cell action potential (GO:0086001)	1/30	2.666950e-02	8.180387e-02	0	0	4.047262e+01	1.466823e+02	KCND3
GO_Biological_Process_2021	activation of protein kinase B activity (GO:0032148)	1/31	2.754681e-02	8.180387e-02	0	0	3.912157e+01	1.405195e+02	NRG1
GO_Biological_Process_2021	ERBB2 signaling pathway (GO:0038128)	1/32	2.842338e-02	8.180387e-02	0	0	3.785769e+01	1.347939e+02	NRG1
GO_Biological_Process_2021	metal ion export (GO:0070839)	1/32	2.842338e-02	8.180387e-02	0	0	3.785769e+01	1.347939e+02	KCND3
GO_Biological_Process_2021	ventricular cardiac muscle tissue morphogenesis (GO:0055010)	1/34	3.017427e-02	8.477532e-02	0	0	3.555971e+01	1.244862e+02	NRG1
GO_Biological_Process_2021	peptidyl-tyrosine dephosphorylation (GO:0035335)	1/35	3.104859e-02	8.520312e-02	0	0	3.451211e+01	1.198330e+02	PTPRB
GO_Biological_Process_2021	positive regulation of myeloid cell differentiation (GO:0045639)	1/37	3.279501e-02	8.599582e-02	0	0	3.259150e+01	1.113808e+02	FAM210B
GO_Biological_Process_2021	regulation of erythrocyte differentiation (GO:0045646)	1/37	3.279501e-02	8.599582e-02	0	0	3.259150e+01	1.113808e+02	FAM210B
GO_Biological_Process_2021	response to estradiol (GO:0032355)	1/38	3.366711e-02	8.636346e-02	0	0	3.170906e+01	1.075328e+02	FAM210B
GO_Biological_Process_2021	regulation of heart rate by cardiac conduction (GO:0086091)	1/39	3.453846e-02	8.671359e-02	0	0	3.087307e+01	1.039089e+02	KCND3
GO_Biological_Process_2021	potassium ion import across plasma membrane (GO:1990573)	1/42	3.714807e-02	9.132234e-02	0	0	2.860976e+01	9.420745e+01	SLC12A9
GO_Biological_Process_2021	metal ion homeostasis (GO:0055065)	1/44	3.888411e-02	9.363928e-02	0	0	2.727633e+01	8.857088e+01	SLC12A9
GO_Biological_Process_2021	neural crest cell development (GO:0014032)	1/45	3.975102e-02	9.381240e-02	0	0	2.665508e+01	8.596583e+01	NRG1
GO_Biological_Process_2021	regulation of cellular component movement (GO:0051270)	1/50	4.407449e-02	1.000152e-01	0	0	2.392917e+01	7.470386e+01	NRG1
GO_Biological_Process_2021	chloride transmembrane transport (GO:1902476)	1/50	4.407449e-02	1.000152e-01	0	0	2.392917e+01	7.470386e+01	SLC12A9
GO_Biological_Process_2021	negative regulation of transport (GO:0051051)	1/51	4.493698e-02	1.000484e-01	0	0	2.344941e+01	7.275166e+01	NRG1
GO_Biological_Process_2021	cardiac muscle tissue development (GO:0048738)	1/53	4.665975e-02	1.019602e-01	0	0	2.254525e+01	6.909833e+01	NRG1
GO_Biological_Process_2021	autophagosome organization (GO:1905037)	1/56	4.923840e-02	1.056388e-01	0	0	2.131230e+01	6.417307e+01	ATG16L1
GO_Biological_Process_2021	autophagosome assembly (GO:0000045)	1/58	5.095384e-02	1.073670e-01	0	0	2.056244e+01	6.121098e+01	ATG16L1
