Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	ERBB2 signaling pathway (GO:0038128)	2/32	3.734250e-04	4.522546e-02	0	0	8.313333e+01	6.561542e+02	ERBIN;NRG1
GO_Biological_Process_2021	nervous system development (GO:0007399)	4/447	5.873436e-04	4.522546e-02	0	0	1.260174e+01	9.375570e+01	HDAC4;GDA;ADORA1;NRG1
GO_Biological_Process_2021	ERBB signaling pathway (GO:0038127)	2/66	1.585937e-03	5.333313e-02	0	0	3.890234e+01	2.507871e+02	ERBIN;NRG1
GO_Biological_Process_2021	response to denervation involved in regulation of muscle adaptation (GO:0014894)	1/5	4.492293e-03	5.333313e-02	0	0	2.937941e+02	1.588072e+03	HDAC4
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	1/5	4.492293e-03	5.333313e-02	0	0	2.937941e+02	1.588072e+03	NRG1
GO_Biological_Process_2021	cardiac muscle cell myoblast differentiation (GO:0060379)	1/5	4.492293e-03	5.333313e-02	0	0	2.937941e+02	1.588072e+03	NRG1
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	1/5	4.492293e-03	5.333313e-02	0	0	2.937941e+02	1.588072e+03	NRG1
GO_Biological_Process_2021	glutathione transport (GO:0034635)	1/5	4.492293e-03	5.333313e-02	0	0	2.937941e+02	1.588072e+03	SLC13A3
GO_Biological_Process_2021	activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	1/6	5.388466e-03	5.333313e-02	0	0	2.350235e+02	1.227644e+03	NRG1
GO_Biological_Process_2021	succinate transmembrane transport (GO:0071422)	1/6	5.388466e-03	5.333313e-02	0	0	2.350235e+02	1.227644e+03	SLC13A3
GO_Biological_Process_2021	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)	1/6	5.388466e-03	5.333313e-02	0	0	2.350235e+02	1.227644e+03	ERBIN
GO_Biological_Process_2021	transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1/6	5.388466e-03	5.333313e-02	0	0	2.350235e+02	1.227644e+03	PTPRD
GO_Biological_Process_2021	regulation of striated muscle cell differentiation (GO:0051153)	1/7	6.283878e-03	5.333313e-02	0	0	1.958431e+02	9.928793e+02	NRG1
GO_Biological_Process_2021	succinate transport (GO:0015744)	1/7	6.283878e-03	5.333313e-02	0	0	1.958431e+02	9.928793e+02	SLC13A3
GO_Biological_Process_2021	ventricular trabecula myocardium morphogenesis (GO:0003222)	1/8	7.178529e-03	5.333313e-02	0	0	1.678571e+02	8.286538e+02	NRG1
GO_Biological_Process_2021	peptidyl-lysine deacetylation (GO:0034983)	1/8	7.178529e-03	5.333313e-02	0	0	1.678571e+02	8.286538e+02	HDAC4
GO_Biological_Process_2021	cardiac muscle hypertrophy (GO:0003300)	1/8	7.178529e-03	5.333313e-02	0	0	1.678571e+02	8.286538e+02	HDAC4
GO_Biological_Process_2021	negative regulation of DNA-binding transcription factor activity (GO:0043433)	2/143	7.205592e-03	5.333313e-02	0	0	1.758954e+01	8.676740e+01	HDAC4;ERBIN
GO_Biological_Process_2021	purine nucleobase metabolic process (GO:0006144)	1/9	8.072419e-03	5.333313e-02	0	0	1.468676e+02	7.077996e+02	GDA
GO_Biological_Process_2021	histone H4 deacetylation (GO:0070933)	1/10	8.965550e-03	5.333313e-02	0	0	1.305425e+02	6.154250e+02	HDAC4
GO_Biological_Process_2021	presynaptic membrane assembly (GO:0097105)	1/10	8.965550e-03	5.333313e-02	0	0	1.305425e+02	6.154250e+02	PTPRD
GO_Biological_Process_2021	positive regulation of protein sumoylation (GO:0033235)	1/10	8.965550e-03	5.333313e-02	0	0	1.305425e+02	6.154250e+02	HDAC4
GO_Biological_Process_2021	negative regulation of glycolytic process (GO:0045820)	1/10	8.965550e-03	5.333313e-02	0	0	1.305425e+02	6.154250e+02	HDAC4
GO_Biological_Process_2021	negative regulation of purine nucleotide metabolic process (GO:1900543)	1/10	8.965550e-03	5.333313e-02	0	0	1.305425e+02	6.154250e+02	HDAC4
GO_Biological_Process_2021	presynaptic membrane organization (GO:0097090)	1/11	9.857922e-03	5.333313e-02	0	0	1.174824e+02	5.427074e+02	PTPRD
