Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	3/89	7.838854e-05	6.114306e-03	0	0	4.337573e+01	4.100669e+02	COL24A1;COL4A2;COL4A4
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	3/216	1.059427e-03	2.791450e-02	0	0	1.740141e+01	1.192001e+02	COL24A1;COL4A2;COL4A4
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	3/217	1.073635e-03	2.791450e-02	0	0	1.731922e+01	1.184064e+02	COL24A1;COL4A2;COL4A4
GO_Biological_Process_2021	negative regulation of blood vessel morphogenesis (GO:2000181)	2/78	2.459508e-03	3.962916e-02	0	0	3.081269e+01	1.851163e+02	COL4A2;SEMA3E
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	3/300	2.709477e-03	3.962916e-02	0	0	1.242677e+01	7.345462e+01	COL24A1;COL4A2;COL4A4
GO_Biological_Process_2021	negative regulation of angiogenesis (GO:0016525)	2/87	3.048397e-03	3.962916e-02	0	0	2.753772e+01	1.595298e+02	COL4A2;SEMA3E
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	3/351	4.214929e-03	4.696635e-02	0	0	1.057812e+01	5.785306e+01	COL24A1;COL4A2;COL4A4
GO_Biological_Process_2021	synapse organization (GO:0050808)	2/126	6.277238e-03	5.537471e-02	0	0	1.883966e+01	9.553262e+01	SEMA3E;NRCAM
GO_Biological_Process_2021	collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063)	1/7	6.631989e-03	5.537471e-02	0	0	1.849537e+02	9.277001e+02	COL4A2
GO_Biological_Process_2021	regulation of extent of cell growth (GO:0061387)	1/8	7.576012e-03	5.537471e-02	0	0	1.585238e+02	7.740350e+02	NRCAM
GO_Biological_Process_2021	neuronal ion channel clustering (GO:0045161)	1/9	8.519186e-03	5.537471e-02	0	0	1.387014e+02	6.609724e+02	NRCAM
GO_Biological_Process_2021	collagen-activated signaling pathway (GO:0038065)	1/9	8.519186e-03	5.537471e-02	0	0	1.387014e+02	6.609724e+02	COL4A2
GO_Biological_Process_2021	neuron projection fasciculation (GO:0106030)	1/10	9.461511e-03	5.676906e-02	0	0	1.232840e+02	5.745677e+02	NRCAM
GO_Biological_Process_2021	cell proliferation in forebrain (GO:0021846)	1/11	1.040299e-02	5.795950e-02	0	0	1.109500e+02	5.065602e+02	NUMB
GO_Biological_Process_2021	axonal fasciculation (GO:0007413)	1/12	1.134362e-02	5.898680e-02	0	0	1.008586e+02	4.517557e+02	NRCAM
GO_Biological_Process_2021	branching involved in blood vessel morphogenesis (GO:0001569)	1/14	1.322233e-02	6.294031e-02	0	0	8.533333e+01	3.691390e+02	SEMA3E
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	2/203	1.564902e-02	6.294031e-02	0	0	1.157741e+01	4.813130e+01	COL4A2;SEMA3E
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	2/221	1.836776e-02	6.294031e-02	0	0	1.061617e+01	4.243451e+01	NUMB;SEMA3E
GO_Biological_Process_2021	negative regulation of axon extension involved in axon guidance (GO:0048843)	1/20	1.883822e-02	6.294031e-02	0	0	5.836842e+01	2.318316e+02	SEMA3E
GO_Biological_Process_2021	negative regulation of protein localization to cell periphery (GO:1904376)	1/21	1.977125e-02	6.294031e-02	0	0	5.544722e+01	2.175486e+02	NUMB
GO_Biological_Process_2021	negative regulation of protein localization to plasma membrane (GO:1903077)	1/21	1.977125e-02	6.294031e-02	0	0	5.544722e+01	2.175486e+02	NUMB
GO_Biological_Process_2021	cellular response to estradiol stimulus (GO:0071392)	1/21	1.977125e-02	6.294031e-02	0	0	5.544722e+01	2.175486e+02	FAM210B
GO_Biological_Process_2021	axonogenesis (GO:0007409)	2/240	2.143931e-02	6.294031e-02	0	0	9.759268e+00	3.750027e+01	SEMA3E;NRCAM
GO_Biological_Process_2021	regulation of axon extension involved in axon guidance (GO:0048841)	1/24	2.256531e-02	6.294031e-02	0	0	4.820773e+01	1.827720e+02	SEMA3E
GO_Biological_Process_2021	negative regulation of protein localization to membrane (GO:1905476)	1/26	2.442382e-02	6.294031e-02	0	0	4.434667e+01	1.646235e+02	NUMB
GO_Biological_Process_2021	positive regulation of erythrocyte differentiation (GO:0045648)	1/27	2.535182e-02	6.294031e-02	0	0	4.263889e+01	1.566938e+02	FAM210B
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	2/269	2.651023e-02	6.294031e-02	0	0	8.686495e+00	3.153393e+01	NUMB;SEMA3E
GO_Biological_Process_2021	regulation of striated muscle contraction (GO:0006942)	1/30	2.813081e-02	6.294031e-02	0	0	3.822222e+01	1.364873e+02	ASB3
GO_Biological_Process_2021	negative regulation of axon extension (GO:0030517)	1/31	2.905547e-02	6.294031e-02	0	0	3.694630e+01	1.307363e+02	SEMA3E
