Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	intrinsic component of postsynaptic density membrane (GO:0099146)	1/11	1.475370e-02	9.364394e-02	0	0	7.678077e+01	3.237278e+02	LRFN2
GO_Cellular_Component_2021	integral component of postsynaptic density membrane (GO:0099061)	1/11	1.475370e-02	9.364394e-02	0	0	7.678077e+01	3.237278e+02	LRFN2
GO_Cellular_Component_2021	integral component of postsynaptic specialization membrane (GO:0099060)	1/15	2.006656e-02	9.364394e-02	0	0	5.483242e+01	2.143235e+02	LRFN2
GO_Cellular_Component_2021	glutamatergic synapse (GO:0098978)	1/69	8.914497e-02	3.120074e-01	0	0	1.125848e+01	2.721729e+01	PTPRD
GO_Cellular_Component_2021	mitochondrial inner membrane (GO:0005743)	1/328	3.603046e-01	8.771747e-01	0	0	2.310750e+00	2.358827e+00	EFHD1
GO_Cellular_Component_2021	organelle inner membrane (GO:0019866)	1/346	3.759320e-01	8.771747e-01	0	0	2.188183e+00	2.140802e+00	EFHD1
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	1/469	4.732938e-01	8.980053e-01	0	0	1.602975e+00	1.199088e+00	EFHD1
GO_Cellular_Component_2021	neuron projection (GO:0043005)	1/556	5.331427e-01	8.980053e-01	0	0	1.345669e+00	8.463801e-01	STMN4
GO_Cellular_Component_2021	nucleolus (GO:0005730)	1/733	6.353456e-01	8.980053e-01	0	0	1.010982e+00	4.585673e-01	RNF213
GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	1/745	6.414324e-01	8.980053e-01	0	0	9.940550e-01	4.414116e-01	RNF213
GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	1/1158	8.004036e-01	9.840206e-01	0	0	6.254903e-01	1.392586e-01	RNF213
GO_Cellular_Component_2021	integral component of plasma membrane (GO:0005887)	1/1454	8.698773e-01	9.840206e-01	0	0	4.902324e-01	6.833993e-02	PTPRD
GO_Cellular_Component_2021	nucleus (GO:0005634)	3/4484	9.598805e-01	9.840206e-01	0	0	4.321580e-01	1.769535e-02	MECOM;TOX;PRDM10
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	3/5192	9.840206e-01	9.840206e-01	0	0	3.561380e-01	5.736818e-03	MECOM;TOX;PRDM10
