Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	clathrin-coated vesicle (GO:0030136)	1/80	5.078476e-02	2.693918e-01	0	0	2.100000e+01	6.258334e+01	CEMIP
GO_Cellular_Component_2021	clathrin-coated endocytic vesicle (GO:0045334)	1/85	5.387836e-02	2.693918e-01	0	0	1.974504e+01	5.767578e+01	CEMIP
GO_Cellular_Component_2021	endocytic vesicle (GO:0030139)	1/189	1.161527e-01	3.799528e-01	0	0	8.776152e+00	1.889373e+01	CEMIP
GO_Cellular_Component_2021	collagen-containing extracellular matrix (GO:0062023)	1/380	2.207720e-01	3.799528e-01	0	0	4.311346e+00	6.512825e+00	COL6A5
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	1/387	2.243796e-01	3.799528e-01	0	0	4.231649e+00	6.323845e+00	PTK2
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	1/394	2.279717e-01	3.799528e-01	0	0	4.154792e+00	6.143001e+00	PTK2
GO_Cellular_Component_2021	cytoskeleton (GO:0005856)	1/600	3.270536e-01	4.672194e-01	0	0	2.697273e+00	3.014557e+00	PTK2
GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	1/1158	5.395764e-01	6.744705e-01	0	0	1.356237e+00	8.367590e-01	PTK2
GO_Cellular_Component_2021	nucleus (GO:0005634)	2/4484	8.246726e-01	8.883938e-01	0	0	6.289806e-01	1.212478e-01	ARID5B;PTK2
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	2/5192	8.883938e-01	8.883938e-01	0	0	5.183745e-01	6.134450e-02	ARID5B;PTK2
