Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	deoxyribonuclease activity (GO:0004536)	1/14	1.460468e-02	8.901503e-02	0	0	7.679231e+01	3.245560e+02	DFFB
GO_Molecular_Function_2021	transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	1/16	1.667441e-02	8.901503e-02	0	0	6.654667e+01	2.724341e+02	PTPRR
GO_Molecular_Function_2021	transmembrane receptor protein phosphatase activity (GO:0019198)	1/16	1.667441e-02	8.901503e-02	0	0	6.654667e+01	2.724341e+02	PTPRR
GO_Molecular_Function_2021	neuropeptide receptor binding (GO:0071855)	1/18	1.874001e-02	8.901503e-02	0	0	5.871176e+01	2.335022e+02	APELA
GO_Molecular_Function_2021	disordered domain specific binding (GO:0097718)	1/23	2.388593e-02	9.076653e-02	0	0	4.535682e+01	1.693835e+02	DFFB
GO_Molecular_Function_2021	glucuronosyltransferase activity (GO:0015020)	1/31	3.206599e-02	1.015423e-01	0	0	3.324833e+01	1.143729e+02	EXT1
GO_Molecular_Function_2021	acetylglucosaminyltransferase activity (GO:0008375)	1/48	4.923239e-02	1.336308e-01	0	0	2.120426e+01	6.385033e+01	EXT1
GO_Molecular_Function_2021	nuclease activity (GO:0004518)	1/60	6.117485e-02	1.452903e-01	0	0	1.688136e+01	4.716683e+01	DFFB
GO_Molecular_Function_2021	protein tyrosine phosphatase activity (GO:0004725)	1/74	7.492717e-02	1.461835e-01	0	0	1.363425e+01	3.532959e+01	PTPRR
GO_Molecular_Function_2021	hormone activity (GO:0005179)	1/78	7.882103e-02	1.461835e-01	0	0	1.292338e+01	3.283281e+01	APELA
GO_Molecular_Function_2021	UDP-glycosyltransferase activity (GO:0008194)	1/84	8.463257e-02	1.461835e-01	0	0	1.198554e+01	2.959753e+01	EXT1
GO_Molecular_Function_2021	hexosyltransferase activity (GO:0016758)	1/119	1.178434e-01	1.865854e-01	0	0	8.415678e+00	1.799607e+01	EXT1
GO_Molecular_Function_2021	protein heterodimerization activity (GO:0046982)	1/188	1.799852e-01	2.630552e-01	0	0	5.291979e+00	9.075113e+00	EXT1
GO_Molecular_Function_2021	GTPase regulator activity (GO:0030695)	1/233	2.182416e-01	2.961850e-01	0	0	4.255819e+00	6.478006e+00	TBC1D1
GO_Molecular_Function_2021	receptor ligand activity (GO:0048018)	1/307	2.774819e-01	3.514770e-01	0	0	3.214542e+00	4.121042e+00	APELA
GO_Molecular_Function_2021	GTPase activator activity (GO:0005096)	1/336	2.995105e-01	3.556688e-01	0	0	2.931940e+00	3.534764e+00	TBC1D1
GO_Molecular_Function_2021	kinase binding (GO:0019900)	1/461	3.873509e-01	4.329216e-01	0	0	2.121630e+00	2.012206e+00	PTPRR
GO_Molecular_Function_2021	protein kinase binding (GO:0019901)	1/506	4.163234e-01	4.394525e-01	0	0	1.928119e+00	1.689597e+00	PTPRR
GO_Molecular_Function_2021	protein homodimerization activity (GO:0042803)	1/636	4.928723e-01	4.928723e-01	0	0	1.523150e+00	1.077636e+00	EXT1
