Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	ER retention sequence binding (GO:0046923)	1/5	3.246051e-03	3.012509e-02	0	0	4.163125e+02	2.385602e+03	CEMIP
GO_Molecular_Function_2021	ErbB-3 class receptor binding (GO:0043125)	1/5	3.246051e-03	3.012509e-02	0	0	4.163125e+02	2.385602e+03	NRG1
GO_Molecular_Function_2021	JUN kinase binding (GO:0008432)	1/7	4.541754e-03	3.012509e-02	0	0	2.775139e+02	1.497033e+03	PTK2
GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	1/7	4.541754e-03	3.012509e-02	0	0	2.775139e+02	1.497033e+03	NRG1
GO_Molecular_Function_2021	hyalurononglucosaminidase activity (GO:0004415)	1/8	5.189022e-03	3.012509e-02	0	0	2.378571e+02	1.251416e+03	CEMIP
GO_Molecular_Function_2021	clathrin heavy chain binding (GO:0032050)	1/9	5.835903e-03	3.012509e-02	0	0	2.081146e+02	1.070484e+03	CEMIP
GO_Molecular_Function_2021	hyaluronic acid binding (GO:0005540)	1/11	7.128500e-03	3.012509e-02	0	0	1.664750e+02	8.229949e+02	CEMIP
GO_Molecular_Function_2021	hexosaminidase activity (GO:0015929)	1/12	7.774217e-03	3.012509e-02	0	0	1.513333e+02	7.350173e+02	CEMIP
GO_Molecular_Function_2021	protein tyrosine kinase activator activity (GO:0030296)	1/19	1.228340e-02	4.230948e-02	0	0	9.244907e+01	4.067303e+02	NRG1
GO_Molecular_Function_2021	chemorepellent activity (GO:0045499)	1/25	1.613335e-02	5.001339e-02	0	0	6.931597e+01	2.860578e+02	NRG1
GO_Molecular_Function_2021	SH2 domain binding (GO:0042169)	1/32	2.060746e-02	5.807556e-02	0	0	5.364516e+01	2.082560e+02	PTK2
GO_Molecular_Function_2021	non-membrane spanning protein tyrosine kinase activity (GO:0004715)	1/35	2.251918e-02	5.817454e-02	0	0	4.890441e+01	1.855134e+02	PTK2
GO_Molecular_Function_2021	signal sequence binding (GO:0005048)	1/42	2.696647e-02	6.430465e-02	0	0	4.054065e+01	1.464799e+02	CEMIP
GO_Molecular_Function_2021	receptor tyrosine kinase binding (GO:0030971)	1/56	3.580507e-02	7.928266e-02	0	0	3.020000e+01	1.005559e+02	NRG1
GO_Molecular_Function_2021	protein kinase activator activity (GO:0030295)	1/63	4.019653e-02	8.307283e-02	0	0	2.678091e+01	8.607318e+01	NRG1
GO_Molecular_Function_2021	protein tyrosine kinase binding (GO:1990782)	1/72	4.581557e-02	8.876766e-02	0	0	2.337559e+01	7.207001e+01	NRG1
GO_Molecular_Function_2021	growth factor activity (GO:0008083)	1/87	5.511319e-02	1.005005e-01	0	0	1.928391e+01	5.589185e+01	NRG1
GO_Molecular_Function_2021	protein tyrosine kinase activity (GO:0004713)	1/108	6.798942e-02	1.168838e-01	0	0	1.548287e+01	4.162419e+01	PTK2
GO_Molecular_Function_2021	phosphatase binding (GO:0019902)	1/114	7.163848e-02	1.168838e-01	0	0	1.465634e+01	3.863592e+01	PTK2
GO_Molecular_Function_2021	protein phosphatase binding (GO:0019903)	1/123	7.708735e-02	1.194854e-01	0	0	1.356899e+01	3.477482e+01	PTK2
GO_Molecular_Function_2021	cytokine activity (GO:0005125)	1/173	1.068251e-01	1.538241e-01	0	0	9.600291e+00	2.147165e+01	NRG1
GO_Molecular_Function_2021	actin binding (GO:0003779)	1/177	1.091655e-01	1.538241e-01	0	0	9.380208e+00	2.077613e+01	PTK2
GO_Molecular_Function_2021	transcription regulatory region nucleic acid binding (GO:0001067)	1/212	1.294037e-01	1.744137e-01	0	0	7.810427e+00	1.597090e+01	ARID5B
GO_Molecular_Function_2021	GTPase regulator activity (GO:0030695)	1/233	1.413421e-01	1.825669e-01	0	0	7.095905e+00	1.388365e+01	RGPD3
GO_Molecular_Function_2021	receptor ligand activity (GO:0048018)	1/307	1.822166e-01	2.259485e-01	0	0	5.359749e+00	9.125292e+00	NRG1
GO_Molecular_Function_2021	GTPase activator activity (GO:0005096)	1/336	1.977392e-01	2.357659e-01	0	0	4.888557e+00	7.923405e+00	RGPD3
GO_Molecular_Function_2021	kinase binding (GO:0019900)	1/461	2.615847e-01	3.003380e-01	0	0	3.537500e+00	4.743777e+00	PTK2
GO_Molecular_Function_2021	protein kinase binding (GO:0019901)	1/506	2.833966e-01	3.137605e-01	0	0	3.214851e+00	4.053632e+00	PTK2
GO_Molecular_Function_2021	transcription cis-regulatory region binding (GO:0000976)	1/549	3.036819e-01	3.246255e-01	0	0	2.956052e+00	3.522948e+00	ARID5B
GO_Molecular_Function_2021	sequence-specific double-stranded DNA binding (GO:1990837)	1/712	3.758608e-01	3.883895e-01	0	0	2.259259e+00	2.210767e+00	ARID5B
GO_Molecular_Function_2021	DNA binding (GO:0003677)	1/811	4.162602e-01	4.162602e-01	0	0	1.972942e+00	1.729175e+00	ARID5B
