Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	ErbB-3 class receptor binding (GO:0043125)	1/5	4.492293e-03	7.154205e-02	0	0	2.937941e+02	1.588072e+03	NRG1
GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	1/7	6.283878e-03	7.154205e-02	0	0	1.958431e+02	9.928793e+02	NRG1
GO_Molecular_Function_2021	outward rectifier potassium channel activity (GO:0015271)	1/11	9.857922e-03	7.154205e-02	0	0	1.174824e+02	5.427074e+02	KCND3
GO_Molecular_Function_2021	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282)	1/12	1.074953e-02	7.154205e-02	0	0	1.067968e+02	4.840984e+02	KCND3
GO_Molecular_Function_2021	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	1/15	1.341983e-02	7.154205e-02	0	0	8.389916e+01	3.616911e+02	KCND3
GO_Molecular_Function_2021	transmembrane receptor protein phosphatase activity (GO:0019198)	1/16	1.430841e-02	7.154205e-02	0	0	7.830196e+01	3.325412e+02	PTPRB
GO_Molecular_Function_2021	transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	1/16	1.430841e-02	7.154205e-02	0	0	7.830196e+01	3.325412e+02	PTPRB
GO_Molecular_Function_2021	protein tyrosine kinase activator activity (GO:0030296)	1/19	1.696963e-02	7.424214e-02	0	0	6.524183e+01	2.659472e+02	NRG1
GO_Molecular_Function_2021	chemorepellent activity (GO:0045499)	1/25	2.227173e-02	8.661228e-02	0	0	4.891667e+01	1.861004e+02	NRG1
GO_Molecular_Function_2021	receptor tyrosine kinase binding (GO:0030971)	1/56	4.923840e-02	1.723344e-01	0	0	2.131230e+01	6.417307e+01	NRG1
GO_Molecular_Function_2021	protein kinase activator activity (GO:0030295)	1/63	5.522967e-02	1.724626e-01	0	0	1.889943e+01	5.473757e+01	NRG1
