Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	L-serine transmembrane transporter activity (GO:0015194)	1/6	7.179245e-03	7.629227e-02	0	0	1.736609e+02	8.572875e+02	SFXN1
GO_Molecular_Function_2021	MutSalpha complex binding (GO:0032407)	1/7	8.370979e-03	7.629227e-02	0	0	1.447101e+02	6.921464e+02	MCM9
GO_Molecular_Function_2021	serine transmembrane transporter activity (GO:0022889)	1/8	9.561343e-03	7.629227e-02	0	0	1.240311e+02	5.767478e+02	SFXN1
GO_Molecular_Function_2021	xylosyltransferase activity (GO:0042285)	1/8	9.561343e-03	7.629227e-02	0	0	1.240311e+02	5.767478e+02	LARGE1
GO_Molecular_Function_2021	G-quadruplex DNA binding (GO:0051880)	1/10	1.193796e-02	7.629227e-02	0	0	9.645894e+01	4.271232e+02	CNBP
GO_Molecular_Function_2021	outward rectifier potassium channel activity (GO:0015271)	1/11	1.312423e-02	7.629227e-02	0	0	8.680870e+01	3.761677e+02	KCND3
GO_Molecular_Function_2021	aspartic-type peptidase activity (GO:0070001)	1/12	1.430912e-02	7.629227e-02	0	0	7.891304e+01	3.351325e+02	PGC
GO_Molecular_Function_2021	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282)	1/12	1.430912e-02	7.629227e-02	0	0	7.891304e+01	3.351325e+02	KCND3
GO_Molecular_Function_2021	I-SMAD binding (GO:0070411)	1/13	1.549266e-02	7.629227e-02	0	0	7.233333e+01	3.014412e+02	SMAD9
GO_Molecular_Function_2021	aspartic-type endopeptidase activity (GO:0004190)	1/15	1.785564e-02	7.629227e-02	0	0	6.199379e+01	2.495520e+02	PGC
GO_Molecular_Function_2021	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	1/15	1.785564e-02	7.629227e-02	0	0	6.199379e+01	2.495520e+02	KCND3
GO_Molecular_Function_2021	DNA replication origin binding (GO:0003688)	1/23	2.725334e-02	9.853130e-02	0	0	3.943478e+01	1.420669e+02	MCM9
