Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Activation of DNA fragmentation factor Homo sapiens R-HSA-211227	1/13	1.356826e-02	8.819368e-02	0	0	8.319583e+01	3.577439e+02	DFFB
Reactome_2016	Apoptosis induced DNA fragmentation Homo sapiens R-HSA-140342	1/13	1.356826e-02	8.819368e-02	0	0	8.319583e+01	3.577439e+02	DFFB
Reactome_2016	HS-GAG biosynthesis Homo sapiens R-HSA-2022928	1/31	3.206599e-02	1.325455e-01	0	0	3.324833e+01	1.143729e+02	EXT1
Reactome_2016	Apoptotic execution  phase Homo sapiens R-HSA-75153	1/51	5.223149e-02	1.325455e-01	0	0	1.992900e+01	5.883180e+01	DFFB
Reactome_2016	Heparan sulfate/heparin (HS-GAG) metabolism Homo sapiens R-HSA-1638091	1/54	5.522159e-02	1.325455e-01	0	0	1.879811e+01	5.444688e+01	EXT1
Reactome_2016	Translocation of GLUT4 to the plasma membrane Homo sapiens R-HSA-1445148	1/60	6.117485e-02	1.325455e-01	0	0	1.688136e+01	4.716683e+01	TBC1D1
Reactome_2016	Glycosaminoglycan metabolism Homo sapiens R-HSA-1630316	1/121	1.197061e-01	2.223113e-01	0	0	8.274583e+00	1.756459e+01	EXT1
Reactome_2016	Apoptosis Homo sapiens R-HSA-109581	1/163	1.579679e-01	2.320347e-01	0	0	6.116358e+00	1.128690e+01	DFFB
Reactome_2016	Programmed Cell Death Homo sapiens R-HSA-5357801	1/166	1.606394e-01	2.320347e-01	0	0	6.004242e+00	1.097932e+01	DFFB
Reactome_2016	Metabolism of carbohydrates Homo sapiens R-HSA-71387	1/282	2.579636e-01	3.353527e-01	0	0	3.504982e+00	4.749029e+00	EXT1
Reactome_2016	Membrane Trafficking Homo sapiens R-HSA-199991	1/420	3.597656e-01	4.251775e-01	0	0	2.334129e+00	2.386186e+00	TBC1D1
Reactome_2016	Vesicle-mediated transport Homo sapiens R-HSA-5653656	1/492	4.074526e-01	4.414069e-01	0	0	1.984521e+00	1.781764e+00	TBC1D1
Reactome_2016	Metabolism Homo sapiens R-HSA-1430728	1/1908	8.783502e-01	8.783502e-01	0	0	4.738332e-01	6.146088e-02	EXT1
