Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Cyclin B2 mediated events Homo sapiens R-HSA-157881	1/5	7.229642e-03	4.033901e-01	0	0	1.782768e+02	8.788271e+02	CDC25A
Reactome_2016	E2F-enabled inhibition of pre-replication complex formation Homo sapiens R-HSA-113507	1/10	1.440885e-02	4.033901e-01	0	0	7.921429e+01	3.358617e+02	CDC25A
Reactome_2016	Polo-like kinase mediated events Homo sapiens R-HSA-156711	1/16	2.295775e-02	4.033901e-01	0	0	4.751429e+01	1.793236e+02	CDC25A
Reactome_2016	G1/S-Specific Transcription Homo sapiens R-HSA-69205	1/17	2.437559e-02	4.033901e-01	0	0	4.454241e+01	1.654382e+02	CDC25A
Reactome_2016	Cyclin A/B1 associated events during G2/M transition Homo sapiens R-HSA-69273	1/22	3.143505e-02	4.033901e-01	0	0	3.392857e+01	1.173871e+02	CDC25A
Reactome_2016	SHC-mediated cascade:FGFR4 Homo sapiens R-HSA-5654719	1/23	3.284101e-02	4.033901e-01	0	0	3.238474e+01	1.106288e+02	FRS3
Reactome_2016	TNFs bind their physiological receptors Homo sapiens R-HSA-5669034	1/24	3.424500e-02	4.033901e-01	0	0	3.097516e+01	1.045168e+02	EDAR
Reactome_2016	G0 and Early G1 Homo sapiens R-HSA-1538133	1/25	3.564703e-02	4.033901e-01	0	0	2.968304e+01	9.896590e+01	CDC25A
Reactome_2016	SHC-mediated cascade:FGFR2 Homo sapiens R-HSA-5654699	1/26	3.704708e-02	4.033901e-01	0	0	2.849429e+01	9.390479e+01	FRS3
Reactome_2016	E2F mediated regulation of DNA replication Homo sapiens R-HSA-113510	1/33	4.679268e-02	4.033901e-01	0	0	2.225335e+01	6.814038e+01	CDC25A
Reactome_2016	Generation of second messenger molecules Homo sapiens R-HSA-202433	1/35	4.955961e-02	4.033901e-01	0	0	2.094223e+01	6.292258e+01	ITK
Reactome_2016	Activation of ATR in response to replication stress Homo sapiens R-HSA-176187	1/37	5.231877e-02	4.033901e-01	0	0	1.977679e+01	5.834943e+01	CDC25A
Reactome_2016	NCAM1 interactions Homo sapiens R-HSA-419037	1/37	5.231877e-02	4.033901e-01	0	0	1.977679e+01	5.834943e+01	COL6A5
