Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Sodium-coupled sulphate, di- and tri-carboxylate transporters Homo sapiens R-HSA-433137	1/5	4.492293e-03	1.631159e-01	0	0	2.937941e+02	1.588072e+03	SLC13A3
Reactome_2016	GRB7 events in ERBB2 signaling Homo sapiens R-HSA-1306955	1/5	4.492293e-03	1.631159e-01	0	0	2.937941e+02	1.588072e+03	NRG1
Reactome_2016	Purine catabolism Homo sapiens R-HSA-74259	1/10	8.965550e-03	1.631159e-01	0	0	1.305425e+02	6.154250e+02	GDA
Reactome_2016	ERBB2 Activates PTK6 Signaling Homo sapiens R-HSA-8847993	1/13	1.164039e-02	1.631159e-01	0	0	9.789216e+01	4.359406e+02	NRG1
Reactome_2016	Downregulation of ERBB2:ERBB3 signaling Homo sapiens R-HSA-1358803	1/13	1.164039e-02	1.631159e-01	0	0	9.789216e+01	4.359406e+02	NRG1
Reactome_2016	Bile salt and organic anion SLC transporters Homo sapiens R-HSA-425471	1/14	1.253049e-02	1.631159e-01	0	0	9.035747e+01	3.957287e+02	SLC13A3
Reactome_2016	ERBB2 Regulates Cell Motility Homo sapiens R-HSA-6785631	1/15	1.341983e-02	1.631159e-01	0	0	8.389916e+01	3.616911e+02	NRG1
Reactome_2016	PI3K events in ERBB2 signaling Homo sapiens R-HSA-1963642	1/16	1.430841e-02	1.631159e-01	0	0	7.830196e+01	3.325412e+02	NRG1
Reactome_2016	GRB2 events in ERBB2 signaling Homo sapiens R-HSA-1963640	1/16	1.430841e-02	1.631159e-01	0	0	7.830196e+01	3.325412e+02	NRG1
Reactome_2016	Nucleotide-like (purinergic) receptors Homo sapiens R-HSA-418038	1/16	1.430841e-02	1.631159e-01	0	0	7.830196e+01	3.325412e+02	ADORA1
Reactome_2016	SHC1 events in ERBB2 signaling Homo sapiens R-HSA-1250196	1/18	1.608331e-02	1.666816e-01	0	0	6.908304e+01	2.853111e+02	NRG1
Reactome_2016	SALM protein interactions at the synapse Homo sapiens R-HSA-8849932	1/22	1.962407e-02	1.864286e-01	0	0	5.591317e+01	2.197946e+02	PTPRD
Reactome_2016	Diseases of signal transduction Homo sapiens R-HSA-5663202	2/288	2.716102e-02	2.381813e-01	0	0	8.608392e+00	3.104162e+01	HDAC4;NRG1
Reactome_2016	Purine metabolism Homo sapiens R-HSA-73847	1/34	3.017427e-02	2.457047e-01	0	0	3.555971e+01	1.244862e+02	GDA
Reactome_2016	Nuclear signaling by ERBB4 Homo sapiens R-HSA-1251985	1/39	3.453846e-02	2.595909e-01	0	0	3.087307e+01	1.039089e+02	NRG1
Reactome_2016	Signaling by ERBB2 Homo sapiens R-HSA-1227986	1/45	3.975102e-02	2.595909e-01	0	0	2.665508e+01	8.596583e+01	NRG1
Reactome_2016	NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947	1/47	4.148262e-02	2.595909e-01	0	0	2.549361e+01	8.113291e+01	HDAC4
Reactome_2016	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants Homo sapiens R-HSA-2894862	1/57	5.009649e-02	2.595909e-01	0	0	2.093067e+01	6.266234e+01	HDAC4
Reactome_2016	Signaling by NOTCH1 in Cancer Homo sapiens R-HSA-2644603	1/57	5.009649e-02	2.595909e-01	0	0	2.093067e+01	6.266234e+01	HDAC4
Reactome_2016	Signaling by NOTCH1 PEST Domain Mutants in Cancer Homo sapiens R-HSA-2644602	1/57	5.009649e-02	2.595909e-01	0	0	2.093067e+01	6.266234e+01	HDAC4
Reactome_2016	Constitutive Signaling by NOTCH1 PEST Domain Mutants Homo sapiens R-HSA-2644606	1/57	5.009649e-02	2.595909e-01	0	0	2.093067e+01	6.266234e+01	HDAC4
Reactome_2016	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer Homo sapiens R-HSA-2894858	1/57	5.009649e-02	2.595909e-01	0	0	2.093067e+01	6.266234e+01	HDAC4
Reactome_2016	Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530	1/61	5.352153e-02	2.652806e-01	0	0	1.953137e+01	5.718144e+01	NRG1
