Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	NCAM signaling for neurite out-growth Homo sapiens R-HSA-375165	3/266	6.027423e-04	4.089867e-02	0	0	2.249886e+01	1.668070e+02	NRG1;COL6A5;PTK2
Reactome_2016	Signaling by PDGF Homo sapiens R-HSA-186797	3/364	1.493077e-03	4.089867e-02	0	0	1.630970e+01	1.061258e+02	NRG1;COL6A5;PTK2
Reactome_2016	GRB7 events in ERBB2 signaling Homo sapiens R-HSA-1306955	1/5	3.246051e-03	4.089867e-02	0	0	4.163125e+02	2.385602e+03	NRG1
Reactome_2016	Hyaluronan biosynthesis and export Homo sapiens R-HSA-2142850	1/5	3.246051e-03	4.089867e-02	0	0	4.163125e+02	2.385602e+03	CEMIP
Reactome_2016	Axon guidance Homo sapiens R-HSA-422475	3/515	4.004091e-03	4.089867e-02	0	0	1.141113e+01	6.299446e+01	NRG1;COL6A5;PTK2
Reactome_2016	Netrin mediated repulsion signals Homo sapiens R-HSA-418886	1/10	6.482395e-03	4.089867e-02	0	0	1.849815e+02	9.320597e+02	PTK2
Reactome_2016	Signal regulatory protein (SIRP) family interactions Homo sapiens R-HSA-391160	1/13	8.419547e-03	4.089867e-02	0	0	1.387153e+02	6.626705e+02	PTK2
Reactome_2016	ERBB2 Activates PTK6 Signaling Homo sapiens R-HSA-8847993	1/13	8.419547e-03	4.089867e-02	0	0	1.387153e+02	6.626705e+02	NRG1
Reactome_2016	Downregulation of ERBB2:ERBB3 signaling Homo sapiens R-HSA-1358803	1/13	8.419547e-03	4.089867e-02	0	0	1.387153e+02	6.626705e+02	NRG1
Reactome_2016	DCC mediated attractive signaling Homo sapiens R-HSA-418885	1/14	9.064489e-03	4.089867e-02	0	0	1.280385e+02	6.022149e+02	PTK2
Reactome_2016	GRB2:SOS provides linkage to MAPK signaling for Integrins Homo sapiens R-HSA-354194	1/15	9.709044e-03	4.089867e-02	0	0	1.188869e+02	5.510048e+02	PTK2
Reactome_2016	p130Cas linkage to MAPK signaling for integrins Homo sapiens R-HSA-372708	1/15	9.709044e-03	4.089867e-02	0	0	1.188869e+02	5.510048e+02	PTK2
Reactome_2016	ERBB2 Regulates Cell Motility Homo sapiens R-HSA-6785631	1/15	9.709044e-03	4.089867e-02	0	0	1.188869e+02	5.510048e+02	NRG1
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	2/235	9.846011e-03	4.089867e-02	0	0	1.541475e+01	7.122676e+01	NRG1;PTK2
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	2/235	9.846011e-03	4.089867e-02	0	0	1.541475e+01	7.122676e+01	NRG1;PTK2
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	2/235	9.846011e-03	4.089867e-02	0	0	1.541475e+01	7.122676e+01	NRG1;PTK2
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	2/235	9.846011e-03	4.089867e-02	0	0	1.541475e+01	7.122676e+01	NRG1;PTK2
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	2/235	9.846011e-03	4.089867e-02	0	0	1.541475e+01	7.122676e+01	NRG1;PTK2
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	2/236	9.926532e-03	4.089867e-02	0	0	1.534810e+01	7.079377e+01	NRG1;PTK2
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	2/236	9.926532e-03	4.089867e-02	0	0	1.534810e+01	7.079377e+01	NRG1;PTK2
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	2/236	9.926532e-03	4.089867e-02	0	0	1.534810e+01	7.079377e+01	NRG1;PTK2
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	2/236	9.926532e-03	4.089867e-02	0	0	1.534810e+01	7.079377e+01	NRG1;PTK2
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	2/239	1.016988e-02	4.089867e-02	0	0	1.515152e+01	6.952008e+01	NRG1;PTK2
