Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Inactivation of Cdc42 and Rac Homo sapiens R-HSA-428543	1/9	1.208689e-02	1.769296e-01	0	0	9.598558e+01	4.238372e+02	SRGAP3
Reactome_2016	Serotonin receptors Homo sapiens R-HSA-390666	1/12	1.608451e-02	1.769296e-01	0	0	6.979720e+01	2.882554e+02	HTR1E
Reactome_2016	Nephrin interactions Homo sapiens R-HSA-373753	1/22	2.929775e-02	2.071361e-01	0	0	3.654212e+01	1.290026e+02	MAGI2
Reactome_2016	Signaling by Robo receptor Homo sapiens R-HSA-376176	1/32	4.234004e-02	2.071361e-01	0	0	2.474194e+01	7.823454e+01	SRGAP3
Reactome_2016	Nuclear signaling by ERBB4 Homo sapiens R-HSA-1251985	1/39	5.136908e-02	2.071361e-01	0	0	2.017713e+01	5.990021e+01	WWOX
Reactome_2016	Amine ligand-binding receptors Homo sapiens R-HSA-375280	1/43	5.649166e-02	2.071361e-01	0	0	1.825183e+01	5.244960e+01	HTR1E
Reactome_2016	SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339	1/107	1.349188e-01	3.976583e-01	0	0	7.208636e+00	1.443949e+01	SRP54
Reactome_2016	Rho GTPase cycle Homo sapiens R-HSA-194840	1/122	1.523706e-01	3.976583e-01	0	0	6.310235e+00	1.187233e+01	SRGAP3
Reactome_2016	Cell-Cell communication Homo sapiens R-HSA-1500931	1/131	1.626784e-01	3.976583e-01	0	0	5.870710e+00	1.066109e+01	MAGI2
Reactome_2016	Translation Homo sapiens R-HSA-72766	1/151	1.851543e-01	4.073395e-01	0	0	5.082821e+00	8.572510e+00	SRP54
Reactome_2016	G alpha (i) signalling events Homo sapiens R-HSA-418594	1/240	2.783192e-01	5.566384e-01	0	0	3.175732e+00	4.061719e+00	HTR1E
Reactome_2016	Class A/1 (Rhodopsin-like receptors) Homo sapiens R-HSA-373076	1/323	3.558972e-01	6.127159e-01	0	0	2.347229e+00	2.424953e+00	HTR1E
Reactome_2016	Signaling by ERBB4 Homo sapiens R-HSA-1236394	1/330	3.620594e-01	6.127159e-01	0	0	2.296469e+00	2.333091e+00	WWOX
Reactome_2016	Signaling by Rho GTPases Homo sapiens R-HSA-194315	1/367	3.936995e-01	6.186706e-01	0	0	2.060425e+00	1.920661e+00	SRGAP3
Reactome_2016	GPCR ligand binding Homo sapiens R-HSA-500792	1/447	4.570272e-01	6.703066e-01	0	0	1.683943e+00	1.318548e+00	HTR1E
Reactome_2016	Axon guidance Homo sapiens R-HSA-422475	1/515	5.058029e-01	6.954790e-01	0	0	1.456076e+00	9.924733e-01	SRGAP3
Reactome_2016	Developmental Biology Homo sapiens R-HSA-1266738	1/786	6.614995e-01	8.111250e-01	0	0	9.401274e-01	3.885040e-01	SRGAP3
Reactome_2016	Signal Transduction Homo sapiens R-HSA-162582	3/2465	6.636477e-01	8.111250e-01	0	0	8.890638e-01	3.645196e-01	WWOX;HTR1E;SRGAP3
Reactome_2016	GPCR downstream signaling Homo sapiens R-HSA-388396	1/983	7.437690e-01	8.524058e-01	0	0	7.438117e-01	2.201866e-01	HTR1E
Reactome_2016	Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	7.749144e-01	8.524058e-01	0	0	6.774679e-01	1.727562e-01	SRP54
Reactome_2016	Signaling by GPCR Homo sapiens R-HSA-372790	1/1293	8.356469e-01	8.754396e-01	0	0	5.561146e-01	9.984987e-02	HTR1E
Reactome_2016	Gene Expression Homo sapiens R-HSA-74160	1/1631	8.995783e-01	8.995783e-01	0	0	4.328221e-01	4.580520e-02	SRP54
