,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
493,GO_Biological_Process_2017b,negative regulation of hydrogen peroxide metabolic process (GO:0010727),1/16,0.0127281127836324,0.0529076577039536,0,0,88.75111111111111,387.3047125888365,PRKN
434,GO_Biological_Process_2017b,ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116),2/192,0.010070044927691,0.0529076577039536,0,0,14.882706766917291,68.4335150764336,PRKN;BTBD9
435,GO_Biological_Process_2017b,mitochondria-associated ubiquitin-dependent protein catabolic process (GO:0072671),2/193,0.0101707617544195,0.0529076577039536,0,0,14.804038893044128,67.92445631361214,PRKN;BTBD9
436,GO_Biological_Process_2017b,transcription factor catabolic process (GO:0036369),2/194,0.0102719315911298,0.0529076577039536,0,0,14.726190476190476,67.42150972922664,PRKN;BTBD9
437,GO_Biological_Process_2017b,"heparan sulfate proteoglycan biosynthetic process, linkage to polypeptide (GO:0015013)",1/13,0.0103532125188836,0.0529076577039536,0,0,110.95555555555556,507.11775303850175,EXT1
438,GO_Biological_Process_2017b,transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185),1/13,0.0103532125188836,0.0529076577039536,0,0,110.95555555555556,507.11775303850175,PTPRD
439,GO_Biological_Process_2017b,regulation of mitochondrial DNA metabolic process (GO:1901858),1/13,0.0103532125188836,0.0529076577039536,0,0,110.95555555555556,507.11775303850175,PRKN
440,GO_Biological_Process_2017b,"heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)",1/13,0.0103532125188836,0.0529076577039536,0,0,110.95555555555556,507.11775303850175,EXT1
433,GO_Biological_Process_2017b,protein denaturation involved in proteasomal ubiquitin-dependent protein catabolic process (GO:1902376),2/192,0.010070044927691,0.0529076577039536,0,0,14.882706766917291,68.4335150764336,PRKN;BTBD9
441,GO_Biological_Process_2017b,protein denaturation (GO:0030164),1/13,0.0103532125188836,0.0529076577039536,0,0,110.95555555555556,507.11775303850175,PRKN
