,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
35,WikiPathways_2019_Human,Nanoparticle triggered autophagic cell death WP2509,1/23,0.0045923510335213,0.0091847020670426,0,0,302.6363636363636,1629.2014564159526,ATG16L1
45,GO_Biological_Process_2017b,membrane repolarization during AV node cell action potential (GO:0086049),1/13,0.002597616681955,0.0101018426520473,0,0,555.1111111111111,3304.665770221969,KCND3
44,GO_Biological_Process_2017b,membrane repolarization during bundle of His cell action potential (GO:0086050),1/12,0.0023979788011638,0.0101018426520473,0,0,605.6060606060606,3653.699524747979,KCND3
43,GO_Biological_Process_2017b,membrane repolarization during cardiac muscle cell action potential (GO:0086013),1/12,0.0023979788011638,0.0101018426520473,0,0,605.6060606060606,3653.699524747979,KCND3
42,GO_Biological_Process_2017b,negative stranded viral RNA replication (GO:0039689),1/11,0.0021983110308393,0.0101018426520473,0,0,666.2,4077.18792037783,ATG16L1
41,GO_Biological_Process_2017b,regulation of peptidyl-tyrosine autophosphorylation (GO:1900084),1/9,0.0017988858466888,0.0101018426520473,0,0,832.8333333333334,5263.9961892645415,MOB1B
40,GO_Biological_Process_2017b,membrane repolarization during Purkinje myocyte action potential (GO:0086051),1/9,0.0017988858466888,0.0101018426520473,0,0,832.8333333333334,5263.9961892645415,KCND3
39,GO_Biological_Process_2017b,potassium ion export from cell (GO:0098668),1/9,0.0017988858466888,0.0101018426520473,0,0,832.8333333333334,5263.9961892645415,KCND3
38,GO_Biological_Process_2017b,cardiac muscle cell membrane repolarization (GO:0099622),1/9,0.0017988858466888,0.0101018426520473,0,0,832.8333333333334,5263.9961892645415,KCND3
37,GO_Biological_Process_2017b,potassium ion export (GO:0071435),1/9,0.0017988858466888,0.0101018426520473,0,0,832.8333333333334,5263.9961892645415,KCND3
46,GO_Biological_Process_2017b,membrane repolarization during SA node cell action potential (GO:0086052),1/15,0.0029968027587318,0.0104888096555614,0,0,475.7619047619048,2764.2762463526265,KCND3
50,GO_Biological_Process_2017b,membrane repolarization during action potential (GO:0086011),1/23,0.0045923510335213,0.0114808775838033,0,0,302.6363636363636,1629.2014564159526,KCND3
49,GO_Biological_Process_2017b,regulation of protein autophosphorylation (GO:0031952),1/23,0.0045923510335213,0.0114808775838033,0,0,302.6363636363636,1629.2014564159526,MOB1B
48,GO_Biological_Process_2017b,membrane repolarization during ventricular cardiac muscle cell action potential (GO:0098915),1/23,0.0045923510335213,0.0114808775838033,0,0,302.6363636363636,1629.2014564159526,KCND3
47,GO_Biological_Process_2017b,membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914),1/19,0.0037948161126764,0.0114808775838033,0,0,369.962962962963,2062.217701188644,KCND3
51,GO_Biological_Process_2017b,hippo signaling (GO:0035329),1/26,0.005190188272057,0.0121104393014664,0,0,266.28,1400.8951674244283,MOB1B
0,GO_Biological_Process_2018,ventricular cardiac muscle cell membrane repolarization (GO:0099625),1/8,0.0015991284507528,0.0132715550743839,0,0,951.8571428571428,6128.338526995007,KCND3
4,GO_Biological_Process_2018,viral RNA genome replication (GO:0039694),1/12,0.0023979788011638,0.0132715550743839,0,0,605.6060606060606,3653.699524747979,ATG16L1
1,GO_Biological_Process_2018,potassium ion export (GO:0071435),1/9,0.0017988858466888,0.0132715550743839,0,0,832.8333333333334,5263.9961892645415,KCND3
2,GO_Biological_Process_2018,cardiac muscle cell membrane repolarization (GO:0099622),1/11,0.0021983110308393,0.0132715550743839,0,0,666.2,4077.18792037783,KCND3
3,GO_Biological_Process_2018,membrane repolarization during action potential (GO:0086011),1/11,0.0021983110308393,0.0132715550743839,0,0,666.2,4077.18792037783,KCND3
5,GO_Biological_Process_2018,membrane repolarization (GO:0086009),1/13,0.002597616681955,0.0132715550743839,0,0,555.1111111111111,3304.665770221969,KCND3
6,GO_Biological_Process_2018,membrane repolarization during cardiac muscle cell action potential (GO:0086013),1/15,0.0029968027587318,0.0132715550743839,0,0,475.7619047619048,2764.2762463526265,KCND3
54,GO_Biological_Process_2017b,autophagosome assembly (GO:0000045),1/35,0.0069820857918579,0.0135762779286127,0,0,195.7058823529412,971.5637663512016,ATG16L1
53,GO_Biological_Process_2017b,regulation of heart rate by cardiac conduction (GO:0086091),1/34,0.0067831056106472,0.0135762779286127,0,0,201.64646464646464,1006.8853706700452,KCND3
52,GO_Biological_Process_2017b,substrate localization to autophagosome (GO:0061753),1/34,0.0067831056106472,0.0135762779286127,0,0,201.64646464646464,1006.8853706700452,ATG16L1
55,GO_Biological_Process_2017b,engulfment of target by autophagosome (GO:0061736),1/40,0.0079765385653122,0.0146936236729436,0,0,170.57264957264957,824.0792369758823,ATG16L1
12,GO_Biological_Process_2018,oligosaccharide biosynthetic process (GO:0009312),1/33,0.006584095548098,0.0148408079308164,0,0,207.95833333333331,1044.5951513751504,GALNTL6
11,GO_Biological_Process_2018,regulation of protein autophosphorylation (GO:0031952),1/31,0.0061859857715872,0.0148408079308164,0,0,221.84444444444443,1128.183023929502,MOB1B
10,GO_Biological_Process_2018,hippo signaling (GO:0035329),1/30,0.0059868860535258,0.0148408079308164,0,0,229.5057471264368,1174.6526106132212,MOB1B
9,GO_Biological_Process_2018,cardiac muscle cell action potential (GO:0086001),1/29,0.0057877564464318,0.0148408079308164,0,0,237.7142857142857,1224.7065079220524,KCND3
8,GO_Biological_Process_2018,protein O-linked glycosylation via serine (GO:0018242),1/22,0.0043930121554123,0.0148408079308164,0,0,317.06349206349205,1720.9382450199414,GALNTL6
7,GO_Biological_Process_2018,protein O-linked glycosylation via threonine (GO:0018243),1/21,0.0041936433766275,0.0148408079308164,0,0,332.93333333333334,1822.5387864867648,GALNTL6
13,GO_Biological_Process_2018,regulation of heart rate by cardiac conduction (GO:0086091),1/35,0.0069820857918579,0.0148408079308164,0,0,195.7058823529412,971.5637663512016,KCND3
14,GO_Biological_Process_2018,carbohydrate biosynthetic process (GO:0016051),1/36,0.0071810360955563,0.0148408079308164,0,0,190.10476190476192,938.4163420388404,GALNTL6
56,GO_Biological_Process_2017b,negative regulation of protein autophosphorylation (GO:0031953),1/50,0.0099632044032962,0.0174356077057683,0,0,135.69387755102042,625.3936138885244,MOB1B
57,GO_Biological_Process_2017b,protein localization to pre-autophagosomal structure (GO:0034497),1/58,0.0115503883648835,0.0192506472748059,0,0,116.60233918128657,520.1672581812571,ATG16L1
16,GO_Biological_Process_2018,autophagosome assembly (GO:0000045),1/58,0.0115503883648835,0.0200532935504788,0,0,116.60233918128657,520.1672581812571,ATG16L1
17,GO_Biological_Process_2018,potassium ion transport (GO:0006813),1/61,0.0121450902474313,0.0200532935504788,0,0,110.75555555555556,488.52395875680094,KCND3
