,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
335,WikiPathways_2019_Human,Cardiac Hypertrophic Response WP2795,2/55,0.0006615177095993661,0.0152149073207854,0,0,62.68238993710692,458.8961346318759,HDAC4;NRG1
336,WikiPathways_2019_Human,MicroRNAs in cardiomyocyte hypertrophy WP1544,2/84,0.0015350048968418,0.0176525563136815,0,0,40.45528455284553,262.1187578709559,HDAC4;NRG1
0,GO_Biological_Process_2018,regulation of protein binding (GO:0043393),3/111,5.792034580725333e-05,0.0184765903125138,0,0,50.196969696969695,489.7438153664009,PRKN;HDAC4;NRG1
358,GO_Biological_Process_2017b,regulation of protein homodimerization activity (GO:0043496),2/16,5.429523345740245e-05,0.0189367697709586,0,0,237.7619047619048,2335.077288749032,HDAC4;NRG1
359,GO_Biological_Process_2017b,regulation of protein heterodimerization activity (GO:0043497),2/17,6.15100567126949e-05,0.0189367697709586,0,0,221.9,2151.6111607602743,HDAC4;NRG1
360,GO_Biological_Process_2017b,central nervous system development (GO:0007417),4/333,6.621248171663877e-05,0.0189367697709586,0,0,23.899088145896656,229.97235901148497,PRKN;HDAC4;RBFOX1;NRG1
384,GO_Biological_Process_2017b,positive regulation of hemocyte proliferation (GO:0035208),3/328,0.0013910728044298,0.0307145214917476,0,0,16.49874125874126,108.52344086108675,HDAC4;NRG1;LIFR
385,GO_Biological_Process_2017b,positive regulation of chorionic trophoblast cell proliferation (GO:1901384),3/328,0.0013910728044298,0.0307145214917476,0,0,16.49874125874126,108.52344086108675,HDAC4;NRG1;LIFR
386,GO_Biological_Process_2017b,positive regulation of fat cell proliferation (GO:0070346),3/328,0.0013910728044298,0.0307145214917476,0,0,16.49874125874126,108.52344086108675,HDAC4;NRG1;LIFR
387,GO_Biological_Process_2017b,positive regulation of hair follicle cell proliferation (GO:0071338),3/328,0.0013910728044298,0.0307145214917476,0,0,16.49874125874126,108.52344086108675,HDAC4;NRG1;LIFR
