Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	nervous system development (GO:0007399)	4/447	2.062551e-04	4.043281e-02	0	0	1.764605e+01	1.497514e+02	PRKN;HDAC4;RBFOX1;NRG1
GO_Biological_Process_2021	negative regulation of transport (GO:0051051)	2/51	5.688783e-04	4.043281e-02	0	0	6.781293e+01	5.066876e+02	PRKN;NRG1
GO_Biological_Process_2021	negative regulation of phosphorylation (GO:0042326)	2/86	1.608136e-03	4.043281e-02	0	0	3.948810e+01	2.540143e+02	PRKN;HDAC4
GO_Biological_Process_2021	regulation of protein binding (GO:0043393)	2/118	2.998619e-03	4.043281e-02	0	0	2.854885e+01	1.658575e+02	PRKN;HDAC4
GO_Biological_Process_2021	macroautophagy (GO:0016236)	2/120	3.099094e-03	4.043281e-02	0	0	2.806215e+01	1.621051e+02	PRKN;ATG16L1
GO_Biological_Process_2021	positive regulation of neurotransmitter transport (GO:0051590)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	PRKN
GO_Biological_Process_2021	aggresome assembly (GO:0070842)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	PRKN
GO_Biological_Process_2021	ciliary neurotrophic factor-mediated signaling pathway (GO:0070120)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	LIFR
GO_Biological_Process_2021	response to denervation involved in regulation of muscle adaptation (GO:0014894)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	HDAC4
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	NRG1
GO_Biological_Process_2021	cardiac muscle cell myoblast differentiation (GO:0060379)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	NRG1
GO_Biological_Process_2021	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway (GO:1903377)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	PRKN
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	1/5	3.495399e-03	4.043281e-02	0	0	3.842692e+02	2.173545e+03	NRG1
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	3/474	3.962874e-03	4.043281e-02	0	0	1.129994e+01	6.249756e+01	HDAC4;NRG1;LIFR
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	2/140	4.189676e-03	4.043281e-02	0	0	2.397101e+01	1.312445e+02	PTPRD;LIFR
GO_Biological_Process_2021	positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	1/6	4.193120e-03	4.043281e-02	0	0	3.074000e+02	1.682803e+03	PRKN
GO_Biological_Process_2021	activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	1/6	4.193120e-03	4.043281e-02	0	0	3.074000e+02	1.682803e+03	NRG1
GO_Biological_Process_2021	regulation of glucokinase activity (GO:0033131)	1/6	4.193120e-03	4.043281e-02	0	0	3.074000e+02	1.682803e+03	PRKN
GO_Biological_Process_2021	regulation of retrograde transport, endosome to Golgi (GO:1905279)	1/6	4.193120e-03	4.043281e-02	0	0	3.074000e+02	1.682803e+03	PRKN
GO_Biological_Process_2021	free ubiquitin chain polymerization (GO:0010994)	1/6	4.193120e-03	4.043281e-02	0	0	3.074000e+02	1.682803e+03	PRKN
GO_Biological_Process_2021	transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1/6	4.193120e-03	4.043281e-02	0	0	3.074000e+02	1.682803e+03	PTPRD
