Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	autophagosome membrane (GO:0000421)	1/22	4.393012e-03	4.135380e-02	0	0	3.170635e+02	1.720938e+03	ATG16L1
GO_Cellular_Component_2021	vacuolar membrane (GO:0005774)	1/45	8.970245e-03	4.135380e-02	0	0	1.511515e+02	7.125044e+02	ATG16L1
GO_Cellular_Component_2021	autophagosome (GO:0005776)	1/69	1.372965e-02	4.135380e-02	0	0	9.768627e+01	4.188980e+02	ATG16L1
GO_Cellular_Component_2021	voltage-gated potassium channel complex (GO:0008076)	1/73	1.452122e-02	4.135380e-02	0	0	9.224074e+01	3.903761e+02	KCND3
GO_Cellular_Component_2021	potassium channel complex (GO:0034705)	1/80	1.590531e-02	4.135380e-02	0	0	8.403797e+01	3.480099e+02	KCND3
GO_Cellular_Component_2021	asymmetric synapse (GO:0032279)	1/133	2.633762e-02	5.073250e-02	0	0	5.016162e+01	1.824256e+02	KCND3
GO_Cellular_Component_2021	postsynaptic density (GO:0014069)	1/138	2.731750e-02	5.073250e-02	0	0	4.831873e+01	1.739584e+02	KCND3
GO_Cellular_Component_2021	nucleolus (GO:0005730)	1/733	1.387453e-01	2.035064e-01	0	0	8.772313e+00	1.732633e+01	MOB1B
GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	1/745	1.408891e-01	2.035064e-01	0	0	8.625448e+00	1.690400e+01	MOB1B
GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	1/1158	2.122648e-01	2.759443e-01	0	0	5.427542e+00	8.412260e+00	MOB1B
GO_Cellular_Component_2021	integral component of plasma membrane (GO:0005887)	1/1454	2.606142e-01	3.079987e-01	0	0	4.253957e+00	5.720356e+00	KCND3
GO_Cellular_Component_2021	nucleus (GO:0005634)	1/4484	6.377885e-01	6.909376e-01	0	0	1.153469e+00	5.187708e-01	MOB1B
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	1/5192	6.995163e-01	6.995163e-01	0	0	9.506839e-01	3.397423e-01	MOB1B
