Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	GRB7 events in ERBB2 signaling Homo sapiens R-HSA-1306955	1/5	3.495399e-03	1.526048e-01	0	0	3.842692e+02	2.173545e+03	NRG1
Reactome_2016	ERBB2 Activates PTK6 Signaling Homo sapiens R-HSA-8847993	1/13	9.064489e-03	1.526048e-01	0	0	1.280385e+02	6.022149e+02	NRG1
Reactome_2016	Downregulation of ERBB2:ERBB3 signaling Homo sapiens R-HSA-1358803	1/13	9.064489e-03	1.526048e-01	0	0	1.280385e+02	6.022149e+02	NRG1
Reactome_2016	ERBB2 Regulates Cell Motility Homo sapiens R-HSA-6785631	1/15	1.045224e-02	1.526048e-01	0	0	1.097363e+02	5.005004e+02	NRG1
Reactome_2016	PI3K events in ERBB2 signaling Homo sapiens R-HSA-1963642	1/16	1.114544e-02	1.526048e-01	0	0	1.024154e+02	4.605338e+02	NRG1
Reactome_2016	GRB2 events in ERBB2 signaling Homo sapiens R-HSA-1963640	1/16	1.114544e-02	1.526048e-01	0	0	1.024154e+02	4.605338e+02	NRG1
Reactome_2016	SHC1 events in ERBB2 signaling Homo sapiens R-HSA-1250196	1/18	1.253049e-02	1.526048e-01	0	0	9.035747e+01	3.957287e+02	NRG1
Reactome_2016	Signaling by Hippo Homo sapiens R-HSA-2028269	1/20	1.391373e-02	1.526048e-01	0	0	8.083806e+01	3.455729e+02	MOB1B
Reactome_2016	IL-6-type cytokine receptor ligand interactions Homo sapiens R-HSA-6788467	1/20	1.391373e-02	1.526048e-01	0	0	8.083806e+01	3.455729e+02	LIFR
Reactome_2016	SALM protein interactions at the synapse Homo sapiens R-HSA-8849932	1/22	1.529518e-02	1.526048e-01	0	0	7.313187e+01	3.057071e+02	PTPRD
Reactome_2016	Diseases of signal transduction Homo sapiens R-HSA-5663202	2/288	1.677532e-02	1.526048e-01	0	0	1.148019e+01	4.692924e+01	HDAC4;NRG1
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	2/301	1.823201e-02	1.526048e-01	0	0	1.097380e+01	4.394543e+01	PTPRD;KCND3
Reactome_2016	Interleukin-6 family signaling Homo sapiens R-HSA-6783589	1/27	1.874094e-02	1.526048e-01	0	0	5.905325e+01	2.348575e+02	LIFR
Reactome_2016	Phase 1 - inactivation of fast Na+ channels Homo sapiens R-HSA-5576894	1/27	1.874094e-02	1.526048e-01	0	0	5.905325e+01	2.348575e+02	KCND3
Reactome_2016	Nuclear signaling by ERBB4 Homo sapiens R-HSA-1251985	1/39	2.696513e-02	1.861121e-01	0	0	4.038057e+01	1.459035e+02	NRG1
Reactome_2016	Voltage gated Potassium channels Homo sapiens R-HSA-1296072	1/43	2.969228e-02	1.861121e-01	0	0	3.652747e+01	1.284623e+02	KCND3
Reactome_2016	Signaling by Interleukins Homo sapiens R-HSA-449147	2/392	2.984524e-02	1.861121e-01	0	0	8.374359e+00	2.940849e+01	NRG1;LIFR
Reactome_2016	Signaling by ERBB2 Homo sapiens R-HSA-1227986	1/45	3.105319e-02	1.861121e-01	0	0	3.486364e+01	1.210484e+02	NRG1
Reactome_2016	NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947	1/47	3.241233e-02	1.861121e-01	0	0	3.334448e+01	1.143454e+02	HDAC4
Reactome_2016	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants Homo sapiens R-HSA-2894862	1/57	3.918150e-02	1.861121e-01	0	0	2.737637e+01	8.868715e+01	HDAC4
Reactome_2016	Signaling by NOTCH1 in Cancer Homo sapiens R-HSA-2644603	1/57	3.918150e-02	1.861121e-01	0	0	2.737637e+01	8.868715e+01	HDAC4
Reactome_2016	Signaling by NOTCH1 PEST Domain Mutants in Cancer Homo sapiens R-HSA-2644602	1/57	3.918150e-02	1.861121e-01	0	0	2.737637e+01	8.868715e+01	HDAC4
Reactome_2016	Constitutive Signaling by NOTCH1 PEST Domain Mutants Homo sapiens R-HSA-2644606	1/57	3.918150e-02	1.861121e-01	0	0	2.737637e+01	8.868715e+01	HDAC4
Reactome_2016	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer Homo sapiens R-HSA-2894858	1/57	3.918150e-02	1.861121e-01	0	0	2.737637e+01	8.868715e+01	HDAC4
Reactome_2016	Constitutive Signaling by Aberrant PI3K in Cancer Homo sapiens R-HSA-2219530	1/61	4.187684e-02	1.869058e-01	0	0	2.554615e+01	8.105852e+01	NRG1
Reactome_2016	O-linked glycosylation of mucins Homo sapiens R-HSA-913709	1/66	4.523614e-02	1.869058e-01	0	0	2.357515e+01	7.298534e+01	GALNTL6
Reactome_2016	Macroautophagy Homo sapiens R-HSA-1632852	1/67	4.590668e-02	1.869058e-01	0	0	2.321678e+01	7.153427e+01	ATG16L1
Reactome_2016	Signaling by PTK6 Homo sapiens R-HSA-8848021	1/67	4.590668e-02	1.869058e-01	0	0	2.321678e+01	7.153427e+01	NRG1
Reactome_2016	Signaling by NOTCH1 Homo sapiens R-HSA-1980143	1/72	4.925286e-02	1.936147e-01	0	0	2.157638e+01	6.496191e+01	HDAC4
Reactome_2016	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling Homo sapiens R-HSA-6811558	1/83	5.657612e-02	2.149893e-01	0	0	1.867167e+01	5.362818e+01	NRG1
Reactome_2016	PI3K/AKT Signaling in Cancer Homo sapiens R-HSA-2219528	1/86	5.856426e-02	2.153654e-01	0	0	1.800995e+01	5.110560e+01	NRG1
Reactome_2016	Negative regulation of the PI3K/AKT network Homo sapiens R-HSA-199418	1/90	6.120907e-02	2.177882e-01	0	0	1.719706e+01	4.803930e+01	NRG1
Reactome_2016	Potassium Channels Homo sapiens R-HSA-1296071	1/99	6.713468e-02	2.177882e-01	0	0	1.561068e+01	4.216528e+01	KCND3
Reactome_2016	Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	2/620	6.826191e-02	2.177882e-01	0	0	5.223301e+00	1.402145e+01	NRG1;LIFR
Reactome_2016	O-linked glycosylation Homo sapiens R-HSA-5173105	1/110	7.432992e-02	2.177882e-01	0	0	1.402752e+01	3.646092e+01	GALNTL6
Reactome_2016	Signaling by NOTCH Homo sapiens R-HSA-157118	1/122	8.212049e-02	2.177882e-01	0	0	1.262873e+01	3.156638e+01	HDAC4
Reactome_2016	PI-3K cascade:FGFR1 Homo sapiens R-HSA-5654689	1/122	8.212049e-02	2.177882e-01	0	0	1.262873e+01	3.156638e+01	NRG1
Reactome_2016	PI-3K cascade:FGFR3 Homo sapiens R-HSA-5654710	1/122	8.212049e-02	2.177882e-01	0	0	1.262873e+01	3.156638e+01	NRG1
Reactome_2016	PI3K events in ERBB4 signaling Homo sapiens R-HSA-1250342	1/122	8.212049e-02	2.177882e-01	0	0	1.262873e+01	3.156638e+01	NRG1
Reactome_2016	PIP3 activates AKT signaling Homo sapiens R-HSA-1257604	1/122	8.212049e-02	2.177882e-01	0	0	1.262873e+01	3.156638e+01	NRG1
Reactome_2016	PI-3K cascade:FGFR4 Homo sapiens R-HSA-5654720	1/122	8.212049e-02	2.177882e-01	0	0	1.262873e+01	3.156638e+01	NRG1
Reactome_2016	PI-3K cascade:FGFR2 Homo sapiens R-HSA-5654695	1/122	8.212049e-02	2.177882e-01	0	0	1.262873e+01	3.156638e+01	NRG1
Reactome_2016	GAB1 signalosome Homo sapiens R-HSA-180292	1/125	8.405860e-02	2.177882e-01	0	0	1.232134e+01	3.051061e+01	NRG1
Reactome_2016	PI3K/AKT activation Homo sapiens R-HSA-198203	1/125	8.405860e-02	2.177882e-01	0	0	1.232134e+01	3.051061e+01	NRG1
Reactome_2016	Immune System Homo sapiens R-HSA-168256	3/1547	8.849519e-02	2.194901e-01	0	0	3.257537e+00	7.898897e+00	NRG1;LIFR;ASB3
Reactome_2016	Disease Homo sapiens R-HSA-1643685	2/725	8.956179e-02	2.194901e-01	0	0	4.440526e+00	1.071422e+01	HDAC4;NRG1
Reactome_2016	Cardiac conduction Homo sapiens R-HSA-5576891	1/135	9.049154e-02	2.194901e-01	0	0	1.139610e+01	2.737911e+01	KCND3
Reactome_2016	Adaptive Immune System Homo sapiens R-HSA-1280218	2/762	9.750670e-02	2.315784e-01	0	0	4.216228e+00	9.814680e+00	NRG1;ASB3
Reactome_2016	Role of LAT2/NTAL/LAB on calcium mobilization Homo sapiens R-HSA-2730905	1/162	1.076515e-01	2.504546e-01	0	0	9.472050e+00	2.111183e+01	NRG1
Reactome_2016	Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372	1/192	1.263653e-01	2.528621e-01	0	0	7.972211e+00	1.649114e+01	NRG1
Reactome_2016	Muscle contraction Homo sapiens R-HSA-397014	1/196	1.288328e-01	2.528621e-01	0	0	7.807101e+00	1.599862e+01	KCND3
Reactome_2016	Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705	1/233	1.513519e-01	2.528621e-01	0	0	6.549735e+00	1.236686e+01	NRG1
Reactome_2016	GRB2 events in EGFR signaling Homo sapiens R-HSA-179812	1/235	1.525537e-01	2.528621e-01	0	0	6.493097e+00	1.220857e+01	NRG1
Reactome_2016	SHC1 events in EGFR signaling Homo sapiens R-HSA-180336	1/235	1.525537e-01	2.528621e-01	0	0	6.493097e+00	1.220857e+01	NRG1
Reactome_2016	SOS-mediated signalling Homo sapiens R-HSA-112412	1/235	1.525537e-01	2.528621e-01	0	0	6.493097e+00	1.220857e+01	NRG1
Reactome_2016	SHC1 events in ERBB4 signaling Homo sapiens R-HSA-1250347	1/235	1.525537e-01	2.528621e-01	0	0	6.493097e+00	1.220857e+01	NRG1
Reactome_2016	RAF/MAP kinase cascade Homo sapiens R-HSA-5673001	1/235	1.525537e-01	2.528621e-01	0	0	6.493097e+00	1.220857e+01	NRG1
Reactome_2016	FRS-mediated FGFR2 signaling Homo sapiens R-HSA-5654700	1/236	1.531539e-01	2.528621e-01	0	0	6.465139e+00	1.213062e+01	NRG1
Reactome_2016	FRS-mediated FGFR4 signaling Homo sapiens R-HSA-5654712	1/236	1.531539e-01	2.528621e-01	0	0	6.465139e+00	1.213062e+01	NRG1
Reactome_2016	FRS-mediated FGFR3 signaling Homo sapiens R-HSA-5654706	1/236	1.531539e-01	2.528621e-01	0	0	6.465139e+00	1.213062e+01	NRG1
Reactome_2016	FRS-mediated FGFR1 signaling Homo sapiens R-HSA-5654693	1/236	1.531539e-01	2.528621e-01	0	0	6.465139e+00	1.213062e+01	NRG1
Reactome_2016	ARMS-mediated activation Homo sapiens R-HSA-170984	1/239	1.549523e-01	2.528621e-01	0	0	6.382676e+00	1.190138e+01	NRG1
Reactome_2016	Signalling to p38 via RIT and RIN Homo sapiens R-HSA-187706	1/239	1.549523e-01	2.528621e-01	0	0	6.382676e+00	1.190138e+01	NRG1
Reactome_2016	Frs2-mediated activation Homo sapiens R-HSA-170968	1/240	1.555510e-01	2.528621e-01	0	0	6.355649e+00	1.182647e+01	NRG1
Reactome_2016	MAPK1/MAPK3 signaling Homo sapiens R-HSA-5684996	1/241	1.561493e-01	2.528621e-01	0	0	6.328846e+00	1.175230e+01	NRG1
Reactome_2016	Prolonged ERK activation events Homo sapiens R-HSA-169893	1/242	1.567472e-01	2.528621e-01	0	0	6.302266e+00	1.167886e+01	NRG1
