Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	ERBB2 signaling pathway (GO:0038128)	2/32	1.681900e-03	1.253227e-01	0	0	3.691111e+01	2.357820e+02	PTPRR;NRG1
GO_Biological_Process_2021	regulation of cellular component movement (GO:0051270)	2/50	4.065467e-03	1.253227e-01	0	0	2.304861e+01	1.268878e+02	NRG1;ZSWIM6
GO_Biological_Process_2021	ERBB signaling pathway (GO:0038127)	2/66	6.984117e-03	1.253227e-01	0	0	1.727257e+01	8.574305e+01	PTPRR;NRG1
GO_Biological_Process_2021	regulation of homophilic cell adhesion (GO:1903385)	1/5	9.464812e-03	1.253227e-01	0	0	1.348514e+02	6.284308e+02	PTPRR
GO_Biological_Process_2021	apoptotic chromosome condensation (GO:0030263)	1/5	9.464812e-03	1.253227e-01	0	0	1.348514e+02	6.284308e+02	DFFB
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	1/5	9.464812e-03	1.253227e-01	0	0	1.348514e+02	6.284308e+02	NRG1
GO_Biological_Process_2021	cardiac muscle cell myoblast differentiation (GO:0060379)	1/5	9.464812e-03	1.253227e-01	0	0	1.348514e+02	6.284308e+02	NRG1
GO_Biological_Process_2021	cell migration involved in gastrulation (GO:0042074)	1/5	9.464812e-03	1.253227e-01	0	0	1.348514e+02	6.284308e+02	APELA
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	1/5	9.464812e-03	1.253227e-01	0	0	1.348514e+02	6.284308e+02	NRG1
GO_Biological_Process_2021	activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	1/6	1.134729e-02	1.253227e-01	0	0	1.078757e+02	4.831510e+02	NRG1
GO_Biological_Process_2021	positive regulation of blood circulation (GO:1903524)	1/7	1.322628e-02	1.253227e-01	0	0	8.989189e+01	3.888318e+02	APELA
GO_Biological_Process_2021	regulation of striated muscle cell differentiation (GO:0051153)	1/7	1.322628e-02	1.253227e-01	0	0	8.989189e+01	3.888318e+02	NRG1
GO_Biological_Process_2021	coronary vasculature development (GO:0060976)	1/7	1.322628e-02	1.253227e-01	0	0	8.989189e+01	3.888318e+02	APELA
GO_Biological_Process_2021	positive regulation of trophoblast cell migration (GO:1901165)	1/7	1.322628e-02	1.253227e-01	0	0	8.989189e+01	3.888318e+02	APELA
