Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	collagen type IV trimer (GO:0005587)	2/6	1.693542e-04	7.790293e-03	0	0	1.509697e+02	1.310948e+03	COL4A2;COL4A4
GO_Cellular_Component_2021	collagen-containing extracellular matrix (GO:0062023)	5/380	9.451975e-03	2.173954e-01	0	0	4.139048e+00	1.929430e+01	LMAN1;COL24A1;COL4A2;COL4A4;COL6A5
GO_Cellular_Component_2021	clathrin-coated vesicle (GO:0030136)	2/80	3.036071e-02	3.818549e-01	0	0	7.713287e+00	2.695490e+01	CEMIP;NUMB
GO_Cellular_Component_2021	coated vesicle (GO:0030135)	2/84	3.320477e-02	3.818549e-01	0	0	7.335551e+00	2.497800e+01	LMAN1;NUMB
GO_Cellular_Component_2021	RISC complex (GO:0016442)	1/13	4.332198e-02	3.985622e-01	0	0	2.477612e+01	7.777460e+01	LIMD1
GO_Cellular_Component_2021	autophagosome membrane (GO:0000421)	1/22	7.222551e-02	4.800283e-01	0	0	1.415139e+01	3.718930e+01	ATG16L1
GO_Cellular_Component_2021	endoplasmic reticulum lumen (GO:0005788)	3/285	7.304778e-02	4.800283e-01	0	0	3.216039e+00	8.415222e+00	COL24A1;COL4A2;COL4A4
GO_Cellular_Component_2021	vacuolar membrane (GO:0005774)	1/45	1.422387e-01	4.995385e-01	0	0	6.746269e+00	1.315690e+01	ATG16L1
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	3/387	1.446921e-01	4.995385e-01	0	0	2.349519e+00	4.541967e+00	NUMB;LIMD1;PTK2
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	3/394	1.502661e-01	4.995385e-01	0	0	2.306630e+00	4.371866e+00	NUMB;LIMD1;PTK2
GO_Cellular_Component_2021	endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	1/49	1.538718e-01	4.995385e-01	0	0	6.182836e+00	1.157202e+01	LMAN1
GO_Cellular_Component_2021	basement membrane (GO:0005604)	1/52	1.624944e-01	4.995385e-01	0	0	5.818262e+00	1.057243e+01	COL4A4
GO_Cellular_Component_2021	ER to Golgi transport vesicle membrane (GO:0012507)	1/54	1.681947e-01	4.995385e-01	0	0	5.598141e+00	9.979432e+00	LMAN1
GO_Cellular_Component_2021	coated vesicle membrane (GO:0030662)	1/55	1.710305e-01	4.995385e-01	0	0	5.494196e+00	9.702274e+00	LMAN1
GO_Cellular_Component_2021	transport vesicle membrane (GO:0030658)	1/60	1.850672e-01	4.995385e-01	0	0	5.027321e+00	8.481273e+00	LMAN1
GO_Cellular_Component_2021	autophagosome (GO:0005776)	1/69	2.097455e-01	4.995385e-01	0	0	4.359965e+00	6.809656e+00	ATG16L1
GO_Cellular_Component_2021	glutamatergic synapse (GO:0098978)	1/69	2.097455e-01	4.995385e-01	0	0	4.359965e+00	6.809656e+00	PTPRD
GO_Cellular_Component_2021	tertiary granule membrane (GO:0070821)	1/73	2.204759e-01	4.995385e-01	0	0	4.116915e+00	6.224639e+00	PTPRB
GO_Cellular_Component_2021	voltage-gated potassium channel complex (GO:0008076)	1/73	2.204759e-01	4.995385e-01	0	0	4.116915e+00	6.224639e+00	KCND3
GO_Cellular_Component_2021	COPII-coated ER to Golgi transport vesicle (GO:0030134)	1/79	2.363029e-01	4.995385e-01	0	0	3.799082e+00	5.480711e+00	LMAN1
GO_Cellular_Component_2021	P-body (GO:0000932)	1/80	2.389097e-01	4.995385e-01	0	0	3.750803e+00	5.369910e+00	LIMD1
GO_Cellular_Component_2021	potassium channel complex (GO:0034705)	1/80	2.389097e-01	4.995385e-01	0	0	3.750803e+00	5.369910e+00	KCND3
